  rule      n     lines   monomials  mono/n^2
    30      8       180         486    7.5938
    30     32      2812        7991    7.8037
    30    128     44999      129033    7.8755
    30    256    180132      516788    7.8856
    90      8       107         222    3.4688
    90     32      1571        3273    3.1963
    90    128     24707       50726    3.0961
    90    256     98563      201249    3.0708
   160      8        93         120    1.8750
   160     32      1509        1992    1.9453
   160    128     24453       32520    1.9849
   160    256     98053      130568    1.9923
   128      8       118         145    2.2656
   128     32      1990        2473    2.4150
   128    128     32518       40585    2.4771
   128    256    130566      163081    2.4884
