a21 / eps_theorem.py -- Theorem U, Theorem S, and eps(m) to large m

Theorem U, rule 30: t<=11, all k<=t, max deviation from exact uniformity = 0
Theorem U, rule 90: t<=11, all k<=t, max deviation from exact uniformity = 0

Cross-check of Theorem S against the direct enumeration in
phi_epsilon_results.json (err(m,t) for t >= 2m+1 must equal eps(m)):

=== rule 30 ===
   m |    eps(m)    | exact fraction        | direct err(m,t) for t>=2m+1
   1 | 0.250000000  | 2/8                  | MATCH t=3..21 [0.25]
   2 | 0.250000000  | 8/32                 | MATCH t=5..21 [0.25]
   3 | 0.218750000  | 28/128                | MATCH t=7..21 [0.21875]
   4 | 0.218750000  | 112/512                | MATCH t=9..21 [0.21875]
   5 | 0.203125000  | 416/2048               | MATCH t=11..21 [0.203125]
   6 | 0.200683594  | 1644/8192               | MATCH t=13..21 [0.20068359375]
   7 | 0.191650391  | 6280/32768              | MATCH t=15..21 [0.191650390625]
   8 | 0.187774658  | 24612/131072             | MATCH t=17..21 [0.187774658203125]
   9 | 0.182800293  | 95840/524288             | MATCH t=19..21 [0.18280029296875]
  10 | 0.181394577  | 380412/2097152            | MATCH t=21..21 [0.1813945770263672]
  11 | 0.179729462  | 1507680/8388608            | n/a
  12 | 0.177905917  | 5969532/33554432           | n/a
  13 | 0.176829308  | 23733628/134217728          | n/a
  14 | 0.175467819  | 94203568/536870912          | n/a
  15 | 0.174551832  | 374847204/2147483648         | n/a
  16 | 0.173306389  | 1488690544/8589934592         | n/a

=== rule 90 ===
   m |    eps(m)    | exact fraction        | direct err(m,t) for t>=2m+1
   1 | 0.500000000  | 4/8                  | MATCH t=3..21 [0.5]
   2 | 0.500000000  | 16/32                 | MATCH t=5..21 [0.5]
   3 | 0.500000000  | 64/128                | MATCH t=7..21 [0.5]
   4 | 0.500000000  | 256/512                | MATCH t=9..21 [0.5]
   5 | 0.500000000  | 1024/2048               | MATCH t=11..21 [0.5]
   6 | 0.500000000  | 4096/8192               | MATCH t=13..21 [0.5]
   7 | 0.500000000  | 16384/32768              | MATCH t=15..21 [0.5]
   8 | 0.500000000  | 65536/131072             | MATCH t=17..21 [0.5]
   9 | 0.500000000  | 262144/524288             | MATCH t=19..21 [0.5]
  10 | 0.500000000  | 1048576/2097152            | MATCH t=21..21 [0.5]
  11 | 0.500000000  | 4194304/8388608            | n/a
  12 | 0.500000000  | 16777216/33554432           | n/a
  13 | 0.500000000  | 67108864/134217728          | n/a
  14 | 0.500000000  | 268435456/536870912          | n/a
  15 | 0.500000000  | 1073741824/2147483648         | n/a
  16 | 0.500000000  | 4294967296/8589934592         | n/a

wrote eps_theorem_results.json
uv run python eps_theorem.py 16  102.98s user 0.28s system 99% cpu 1:43.59 total
