a21 / orbit_window.py -- bounded-window determination on the true orbit
T = 60000, m = 1..30

  cross-check: first 4096 centre bits match common.center_column_bits
=== rule 30: |Z| = 29907 of 60000 ===
   m | conflicts (all t)   first t | conflicts (t in Z)   first t | repeat-window opportunities (all t)
   1 |        30034          2 |        14880         10 |        59997
   2 |        15037          5 |         9340         10 |        59994
   3 |        13075          7 |        11642         11 |        59989
   4 |        14513         17 |         9230         32 |        59980
   5 |        14414         32 |         7493         32 |        59963
   6 |        13771         32 |         7183         32 |        59930
   7 |        12717         53 |         7094         87 |        59865
   8 |        14194         74 |         7388         87 |        59736
   9 |        14016        149 |         7244        157 |        59479
  10 |        13822        149 |         7084        157 |        58966
  11 |        14053        157 |         6773        157 |        57941
  12 |        13720        157 |         6391        157 |        55892
  13 |        12682        158 |         5418        445 |        51801
  14 |        10627        446 |         3867        446 |        44058
  15 |         7860        447 |         2439        447 |        32606
  16 |         4966       1088 |         1401       2124 |        20863
  17 |         2800       1995 |          746       2169 |        12070
  18 |         1495       1995 |          365       4525 |         6537
  19 |          776       1995 |          194       4525 |         3417
  20 |          400       1995 |           86       4525 |         1776
  21 |          202       1995 |           41      19176 |          892
  22 |           96       1995 |           20      19176 |          427
  23 |           42       3102 |           14      19176 |          204
  24 |           20      14892 |            5      19176 |           98
  25 |           12      19176 |            3      19176 |           44
  26 |            7      28780 |            1      38206 |           21
  27 |            4      28780 |            1      38206 |           10
  28 |            3      28782 |            1      38206 |            6
  29 |            2      28782 |            0       None |            3
  30 |            0       None |            0       None |            0

=== rule 90: |Z| = 59999 of 60000 ===
   m | conflicts (all t)   first t | conflicts (t in Z)   first t | repeat-window opportunities (all t)
   1 |           14          3 |           14          3 |        59997
   2 |        59983          4 |        59983          4 |        59996
   3 |           13          7 |           13          7 |        59995
   4 |           13          7 |           13          7 |        59994
   5 |           13          7 |           13          7 |        59993
   6 |        59980          8 |        59980          8 |        59992
   7 |           12         15 |           12         15 |        59991
   8 |           12         15 |           12         15 |        59990
   9 |           12         15 |           12         15 |        59989
  10 |           12         15 |           12         15 |        59988
  11 |           12         15 |           12         15 |        59987
  12 |           12         15 |           12         15 |        59986
  13 |           12         15 |           12         15 |        59985
  14 |        59973         16 |        59973         16 |        59984
  15 |           11         31 |           11         31 |        59983
  16 |           11         31 |           11         31 |        59982
  17 |           11         31 |           11         31 |        59981
  18 |           11         31 |           11         31 |        59980
  19 |           11         31 |           11         31 |        59979
  20 |           11         31 |           11         31 |        59978
  21 |           11         31 |           11         31 |        59977
  22 |           11         31 |           11         31 |        59976
  23 |           11         31 |           11         31 |        59975
  24 |           11         31 |           11         31 |        59974
  25 |           11         31 |           11         31 |        59973
  26 |           11         31 |           11         31 |        59972
  27 |           11         31 |           11         31 |        59971
  28 |           11         31 |           11         31 |        59970
  29 |           11         31 |           11         31 |        59969
  30 |        59958         32 |        59958         32 |        59968

