a22 / ensemble_control.py -- same held-out procedure, i.i.d. ensemble rows
K = 2000000 rows, tfix = 33, free bits per row = 35

  m   eps30(m)  train_err   test_err  unseen% t_stat_vs_direct   p_direct   n_test
  1   0.250000   0.249105   0.250463    0.000            1.069      0.285  1000000
  2   0.250000   0.249105   0.250463    0.000            1.069      0.285  1000000
  3   0.218750   0.218928   0.219322    0.000            1.384     0.1665  1000000
  4   0.218750   0.218430   0.219580    0.000            2.008    0.04467  1000000
  5   0.203125   0.203001   0.204156    0.000            2.563    0.01039  1000000
  6   0.200684   0.200535   0.201702    0.000            2.543      0.011  1000000
  8   0.187775   0.187824   0.188814    0.000            2.661   0.007783  1000000
 10   0.181395   0.181206   0.182395    0.000            2.596   0.009427  1000000
 12   0.177906   0.177306   0.180072    0.000            5.664  1.479e-08  1000000
 14   0.175468   0.172976   0.179134    0.000            9.639          0  1000000
 16   0.173306   0.163439   0.184566    0.000           29.747          0  1000000
