a22 / ensemble_control.py -- same held-out procedure, i.i.d. ensemble rows
K = 1000000 rows, tfix = 33, free bits per row = 35

  m   eps30(m)  train_err   test_err  unseen% t_stat_vs_direct   p_direct   n_test
  1   0.250000   0.250012   0.248198    0.000           -2.943   0.003254   500000
  2   0.250000   0.250012   0.248198    0.000           -2.943   0.003254   500000
  3   0.218750   0.219558   0.218298    0.000           -0.773     0.4394   500000
  4   0.218750   0.218740   0.218192    0.000           -0.954     0.3399   500000
  5   0.203125   0.203554   0.202836    0.000           -0.508     0.6115   500000
  6   0.200684   0.201392   0.199678    0.000           -1.775    0.07583   500000
  8   0.187775   0.188632   0.187016    0.000           -1.374     0.1696   500000
 10   0.181395   0.182094   0.180592    0.000           -1.473     0.1408   500000
 12   0.177906   0.177898   0.178212    0.000            0.566     0.5714   500000
 14   0.175468   0.171072   0.180058    0.000            8.533          0   500000
 16   0.173306   0.154334   0.194134    0.055           38.909          0   500000
