a22 / independent_eps_check.py -- independent re-derivation of eps_30(m), array-based, not the bitmask-packing method

  m    a21 claimed    independent   match?
  1    0.250000000    0.250000000    MATCH   (2/8)
  2    0.250000000    0.250000000    MATCH   (8/32)
  3    0.218750000    0.218750000    MATCH   (28/128)
  4    0.218750000    0.218750000    MATCH   (112/512)
  5    0.203125000    0.203125000    MATCH   (416/2048)
  6    0.200683594    0.200683594    MATCH   (1644/8192)
  7    0.191650391    0.191650391    MATCH   (6280/32768)
  8    0.187774658    0.187774658    MATCH   (24612/131072)
  9    0.182800293    0.182800293    MATCH   (95840/524288)
 10    0.181394577    0.181394577    MATCH   (380412/2097152)
 11    0.179729462    0.179729462    MATCH   (1507680/8388608)
 12    0.177905917    0.177905917    MATCH   (5969532/33554432)
 13    0.176829308    0.176829308    MATCH   (23733628/134217728)
 14    0.175467819    0.175467819    MATCH   (94203568/536870912)
 15    0.174551832    0.174551832    MATCH   (374847204/2147483648)
 16    0.173306389    0.173306389    MATCH   (1488690544/8589934592)
