a22 / orbit_eps.py -- held-out window-conditional error rate on the lone-seed orbit vs ensemble eps_30(m)
T = 1000000, B = 30 test blocks

cross-check OK: first 4096 centre bits match common.center_column_bits

=== all t ===
  m   eps30(m)  train_err   test_err  unseen%  blk_mean   blk_sd    t_stat    p_value   n_test
  1   0.250000   0.250231   0.250106    0.000  0.250106 0.003266     0.178     0.8603   500000
  2   0.250000   0.250229   0.250106    0.000  0.250106 0.003266     0.178     0.8603   500000
  3   0.218750   0.218343   0.219426    0.000  0.219426 0.004044     0.915     0.3675   500000
  4   0.218750   0.218344   0.219426    0.000  0.219426 0.004044     0.915     0.3675   500000
  5   0.203125   0.203246   0.203272    0.000  0.203272 0.003999     0.201     0.8419   500000
  6   0.200684   0.201140   0.201902    0.000  0.201902 0.003920     1.703    0.09934   500000
  8   0.187775   0.187945   0.189290    0.000  0.189290 0.003929     2.112     0.0434   500000
 10   0.181395   0.181836   0.183344    0.000  0.183344 0.004136     2.582    0.01516   500000
 12   0.177906   0.177012   0.180472    0.000  0.180472 0.004164     3.376    0.00211   500000
 14   0.175468   0.170855   0.181972    0.000  0.181972 0.004749     7.502  2.872e-08   500000
 16   0.173306   0.154011   0.195462    0.055  0.195462 0.004693    25.859  1.404e-21   500000

=== t in Z (c_t=0) ===
  m   eps30(m)  train_err   test_err  unseen%  blk_mean   blk_sd    t_stat    p_value   n_test
  1   0.250000   0.251258   0.250569    0.000  0.250566 0.004166     0.744      0.463   249584
  2   0.250000   0.251258   0.250569    0.000  0.250566 0.004166     0.744      0.463   249584
  3   0.218750   0.218124   0.219557    0.000  0.219553 0.005382     0.817     0.4206   249584
  4   0.218750   0.218124   0.219557    0.000  0.219553 0.005382     0.817     0.4206   249584
  5   0.203125   0.203247   0.203310    0.000  0.203301 0.004933     0.196     0.8462   249584
  6   0.200684   0.200964   0.200910    0.000  0.200905 0.004234     0.286     0.7767   249584
  8   0.187775   0.187699   0.189279    0.000  0.189275 0.004427     1.857    0.07355   249584
 10   0.181395   0.181293   0.183878    0.000  0.183873 0.004541     2.990    0.00564   249584
 12   0.177906   0.176027   0.182243    0.000  0.182241 0.003934     6.035  1.447e-06   249584
 14   0.175468   0.165805   0.187780    0.000  0.187777 0.003866    17.439  6.497e-17   249584
 16   0.173306   0.136612   0.218468    2.309  0.218470 0.005253    47.093  5.982e-29   249584

