rule 30: Per(W,p,T=2000000)
     p=1       p=2       p=3       p=4       p=5       p=6       p=7       p=8       
  W=0 23        23        23        24        23        27        25        26        
  W=1 17        17        17        20        22        25        24        23        
  W=2 16        16        16        19        21        24        23        21        
  W=3 13        13        13        17        16        22        21        20        
  W=4 11        11        11        14        15        21        20        19        
  W=5 10        10        10        12        13        18        15        17        
  W=6 7         8         9         10        12        15        14        15        
  W=7 5         6         8         9         9         12        13        13        
  W=8 4         4         7         8         6         11        10        12        
rule 90: Per(W,p,T=2000000)
     p=1       p=2       p=3       p=4       p=5       p=6       p=7       p=8       
  W=0 1999999   1999999   1999999   1999999   1999999   1999999   1999999   1999999   
  W=1 951424    951424    951424    951424    951424    951424    951424    951424    
  W=2 951424    951424    951424    951424    951424    951424    951424    951424    
  W=3 951424    951424    951424    951424    951424    951424    951424    951424    
  W=4 951424    951424    951424    951424    951424    951424    951424    951424    
  W=5 951424    951424    951424    951424    951424    951424    951424    951424    
  W=6 951424    951424    951424    951424    951424    951424    951424    951424    
  W=7 951424    951424    951424    951424    951424    951424    951424    951424    
  W=8 951424    951424    951424    951424    951424    951424    951424    951424    
wrote /Volumes/A/researchpapers/13-rule30/experiments/overnight-arms/frontier_attack/a3_p2_orbit_closure/periodic_windows.json
