rule 30
    n    cells     axioms      LB=mu-1     UB=steps      UB/LB
    4       13         59            8           24       3.00
    5       18         91            -           37          -
    6       25        135           16           54       3.38
    7       32        183            -           73          -
    8       41        243           32           96       3.00
    9       50        307            -          121          -
   10       61        383            -          150          -
   16      145        995            -          384          -
   32      545       4035            -         1536          -
   64     2113      16259            -         6144          -
   96     4705      36675            -        13824          -
  128     8321      65283            -        24576          -

rule 90
    n    cells     axioms      LB=mu-1     UB=steps      UB/LB
    4       13         34            6           16       2.67
    5       18         50            -           24          -
    6       25         74            8           36       4.50
    7       32         98            -           48          -
    8       41        130           16           64       4.00
    9       50        162            -           80          -
   10       61        202           20          100       5.00
   16      145        514            -          256          -
   32      545       2050            -         1024          -
   64     2113       8194            -         4096          -
   96     4705      18434            -         9216          -
  128     8321      32770            -        16384          -

clause-to-cell injectivity: verified at every n above
