words (23): 0 1 01 001 011 0001 0011 0111 00001 00011 00101 00111 01011 01111 000001 000011 000101 000111 001011 001101 001111 010111 011111
rule   k  w        Rmax  reject  cmis  m1mis  pinviol  minper(col-1)  diff1
  30   1  0          16      []     0      0        0              1       0
  30   1  1          16      []     0      0        0              1       0
  30   1  01         16      []     0      0        0           None     856
  30   1  001        16      []     0      0        0           None    2661
  30   1  011        16      []     0      0        0           None    2662
  30   1  0001       16      []     0      0        0           None    2008
  30   1  0011       16      []     0      0        0           None    1997
  30   1  0111       16      []     0      0        0           None    1997
  30   1  00001      16      []     0      0        0           None    2962
  30   1  00011      16      []     0      0        0           None    1971
  30   1  00101      16      []     0      0        0           None    1862
  30   1  00111      16      []     0      0        0           None    2069
  30   1  01011      16      []     0      0        0           None    1880
  30   1  01111      16      []     0      0        0           None    1597
  30   1  000001     16      []     0      0        0           None    2570
  30   1  000011     16      []     0      0        0           None    1535
  30   1  000101     16      []     0      0        0           None    2182
  30   1  000111     16      []     0      0        0           None    2473
  30   1  001011     16      []     0      0        0           None    2663
  30   1  001101     16      []     0      0        0           None    2587
  30   1  001111     16      []     0      0        0           None    1332
  30   1  010111     16      []     0      0        0           None    1719
  30   1  011111     16      []     0      0        0           None    1332
  30   2  0          16      []     0      0        0              1       0
  30   2  1          16      []     0      0        0              1       0
  30   2  01         16      []     0      0        0           None     850
  30   2  001        16      []     0      0        0           None    2660
  30   2  011        16      []     0      0        0           None    2661
  30   2  0001       16      []     0      0        0              4    1995
  30   2  0011       16      []     0      0        0           None    1996
  30   2  0111       16      []     0      0        0           None    1996
  30   2  00001      16      []     0      0        0           None    2931
  30   2  00011      16      []     0      0        0           None    1970
  30   2  00101      16      []     0      0        0           None    1917
  30   2  00111      16      []     0      0        0           None    2058
  30   2  01011      16      []     0      0        0           None    1858
  30   2  01111      16      []     0      0        0           None    1597
  30   2  000001     16      []     0      0        0           None    2565
  30   2  000011     16      []     0      0        0           None    1519
  30   2  000101     16      []     0      0        0           None    2094
  30   2  000111     16      []     0      0        0           None    2473
  30   2  001011     16      []     0      0        0           None    2661
  30   2  001101     16      []     0      0        0           None    2563
  30   2  001111     16      []     0      0        0           None    1331
  30   2  010111     16      []     0      0        0           None    1793
  30   2  011111     16      []     0      0        0           None    1331
  30   3  0          16      []     0      0        0              1       0
  30   3  1          16      []     0      0        0              1       0
  30   3  01         16      []     0      0        0           None     892
  30   3  001        16      []     0      0        0           None    2659
  30   3  011        16      []     0      0        0           None    2659
  30   3  0001       16      []     0      0        0           None    1996
  30   3  0011       16      []     0      0        0           None    1995
  30   3  0111       16      []     0      0        0           None    1995
  30   3  00001      16      []     0      0        0           None    2925
  30   3  00011      16      []     0      0        0           None    1953
  30   3  00101      16      []     0      0        0           None    1868
  30   3  00111      16      []     0      0        0           None    2043
  30   3  01011      16      []     0      0        0           None    1893
  30   3  01111      16      []     0      0        0           None    1595
  30   3  000001     16      []     0      0        0           None    2553
  30   3  000011     16      []     0      0        0           None    1526
  30   3  000101     16      []     0      0        0           None    2068
  30   3  000111     16      []     0      0        0           None    2490
  30   3  001011     16      []     0      0        0           None    2659
  30   3  001101     16      []     0      0        0           None    2595
  30   3  001111     16      []     0      0        0           None    1330
  30   3  010111     16      []     0      0        0           None    1742
  30   3  011111     16      []     0      0        0           None    1330
  30   4  0          16      []     0      0        0              1       0
  30   4  1          16      []     0      0        0              1       0
  30   4  01         16      []     0      0        0           None     892
  30   4  001        16      []     0      0        0           None    2658
  30   4  011        16      []     0      0        0           None    2658
  30   4  0001       16      []     0      0        0           None    1997
  30   4  0011       16      []     0      0        0           None    1994
  30   4  0111       16      []     0      0        0           None    1994
  30   4  00001      16      []     0      0        0           None    2935
  30   4  00011      16      []     0      0        0           None    1962
  30   4  00101      16      []     0      0        0           None    1858
  30   4  00111      16      []     0      0        0           None    2040
  30   4  01011      16      []     0      0        0           None    1866
  30   4  01111      16      []     0      0        0           None    1595
  30   4  000001     16      []     0      0        0           None    2562
  30   4  000011     16      []     0      0        0           None    1541
  30   4  000101     16      []     0      0        0           None    2232
  30   4  000111     16      []     0      0        0           None    2485
  30   4  001011     16      []     0      0        0           None    2659
  30   4  001101     16      []     0      0        0           None    2863
  30   4  001111     16      []     0      0        0           None    1330
  30   4  010111     16      []     0      0        0           None    1739
  30   4  011111     16      []     0      0        0           None    1330
  30   5  0          16      []     0      0        0              1       0
  30   5  1          16      []     0      0        0              1       0
  30   5  01         16      []     0      0        0           None     854
  30   5  001        16      []     0      0        0           None    2656
  30   5  011        16      []     0      0        0           None    2657
  30   5  0001       16      []     0      0        0           None    2000
  30   5  0011       16      []     0      0        0              4    1993
  30   5  0111       16      []     0      0        0           None    1993
  30   5  00001      16      []     0      0        0           None    2904
  30   5  00011      16      []     0      0        0           None    1948
  30   5  00101      16      []     0      0        0           None    1846
  30   5  00111      16      []     0      0        0           None    2052
  30   5  01011      16      []     0      0        0           None    1894
  30   5  01111      16      []     0      0        0           None    1594
  30   5  000001     16      []     0      0        0           None    2533
  30   5  000011     16      []     0      0        0           None    1519
  30   5  000101     16      []     0      0        0           None    2204
  30   5  000111     16      []     0      0        0           None    2439
  30   5  001011     16      []     0      0        0           None    2657
  30   5  001101     16      []     0      0        0           None    2813
  30   5  001111     16      []     0      0        0           None    1329
  30   5  010111     16      []     0      0        0           None    1775
  30   5  011111     16      []     0      0        0           None    1329
  30   6  0          16      []     0      0        0              1       0
  30   6  1          16      []     0      0        0              1       0
  30   6  01         16      []     0      0        0           None     852
  30   6  001        16      []     0      0        0           None    2655
  30   6  011        16      []     0      0        0           None    2656
  30   6  0001       16      []     0      0        0           None    2011
  30   6  0011       16      []     0      0        0           None    1992
  30   6  0111       16      []     0      0        0           None    1992
  30   6  00001      16      []     0      0        0           None    2894
  30   6  00011      16      []     0      0        0           None    1957
  30   6  00101      16      []     0      0        0           None    1866
  30   6  00111      16      []     0      0        0           None    2055
  30   6  01011      16      []     0      0        0           None    1836
  30   6  01111      16      []     0      0        0           None    1593
  30   6  000001     16      []     0      0        0           None    2613
  30   6  000011     16      []     0      0        0           None    1520
  30   6  000101     16      []     0      0        0           None    2170
  30   6  000111     16      []     0      0        0           None    2508
  30   6  001011     16      []     0      0        0           None    2655
  30   6  001101     16      []     0      0        0           None    2591
  30   6  001111     16      []     0      0        0           None    1328
  30   6  010111     16      []     0      0        0           None    1758
  30   6  011111     16      []     0      0        0           None    1328
  30   7  0          16      []     0      0        0              1       0
  30   7  1          16      []     0      0        0              1       0
  30   7  01         16      []     0      0        0           None     850
  30   7  001        16      []     0      0        0           None    2654
  30   7  011        16      []     0      0        0           None    2654
  30   7  0001       16      []     0      0        0           None    1996
  30   7  0011       16      []     0      0        0              4    1991
  30   7  0111       16      []     0      0        0           None    1991
  30   7  00001      16      []     0      0        0           None    2893
  30   7  00011      16      []     0      0        0           None    1964
  30   7  00101      16      []     0      0        0           None    1853
  30   7  00111      16      []     0      0        0           None    2067
  30   7  01011      16      []     0      0        0           None    1878
  30   7  01111      16      []     0      0        0           None    1593
  30   7  000001     16      []     0      0        0           None    2544
  30   7  000011     16      []     0      0        0           None    1519
  30   7  000101     16      []     0      0        0           None    2144
  30   7  000111     16      []     0      0        0           None    2456
  30   7  001011     16      []     0      0        0           None    2654
  30   7  001101     16      []     0      0        0           None    2653
  30   7  001111     16      []     0      0        0           None    1328
  30   7  010111     16      []     0      0        0           None    1671
  30   7  011111     16      []     0      0        0           None    1328
  30   8  0          16      []     0      0        0              1       0
  30   8  1          16      []     0      0        0              1       0
  30   8  01         16      []     0      0        0           None     849
  30   8  001        16      []     0      0        0           None    2653
  30   8  011        16      []     0      0        0           None    2653
  30   8  0001       16      []     0      0        0           None    1993
  30   8  0011       16      []     0      0        0           None    1989
  30   8  0111       16      []     0      0        0           None    1990
  30   8  00001      16      []     0      0        0           None    2937
  30   8  00011      16      []     0      0        0           None    1957
  30   8  00101      16      []     0      0        0           None    1849
  30   8  00111      16      []     0      0        0           None    2039
  30   8  01011      16      []     0      0        0           None    1881
  30   8  01111      16      []     0      0        0           None    1591
  30   8  000001     16      []     0      0        0           None    2563
  30   8  000011     16      []     0      0        0           None    1525
  30   8  000101     16      []     0      0        0           None    2176
  30   8  000111     16      []     0      0        0           None    2465
  30   8  001011     16      []     0      0        0           None    2653
  30   8  001101     16      []     0      0        0           None    2674
  30   8  001111     16      []     0      0        0           None    1327
  30   8  010111     16      []     0      0        0           None    1707
  30   8  011111     16      []     0      0        0           None    1327
  90   1  0          16      []     0      0        0           None      17
  90   1  1          16      []     0      0        0           None      26
  90   1  01         16      []     0      0        0           None    1362
  90   1  001        16      []     0      0        0           None    1933
  90   1  011        16      []     0      0        0           None    1933
  90   1  0001       16      []     0      0        0           None    3294
