n c | k_src k_states | C(n,lambda) sources for lambda=1.0,1.1,1.2,1.3,1.35 | chain (sources) | chain (states)
 9 2 |  1  1 |  1.00  1.00  1.00  1.00  1.00 | 512 162 57 17 4 0 | 232 72 26 8 2 0
 9 3 |  4  4 |  3.00  5.22  9.09 15.83 20.89 | 512 214 112 53 23 6 6 6 6 0 | 232 98 48 21 9 1 1 1 1 0
10 2 |  1  1 |  1.00  1.00  1.00  1.05  1.12 | 1024 396 177 62 26 6 0 | 410 154 69 23 8 2 0
10 3 |  3  3 |  1.00  1.14  1.72  2.61  3.22 | 1024 385 159 62 22 14 12 4 0 | 410 160 67 26 10 7 6 2 0
11 2 |  1  1 |  1.00  1.00  1.00  1.00  1.00 | 2048 728 285 93 36 9 4 0 | 742 256 96 34 12 4 1 0
11 3 |  2  2 |  1.00  1.22  1.98  3.22  4.10 | 2048 805 325 157 79 32 14 12 0 | 742 296 122 58 28 12 5 4 0
12 2 |  2  2 |  1.00  1.00  1.00  1.62  2.22 | 4096 1607 752 278 119 33 14 6 2 2 0 | 1329 517 219 90 36 13 5 2 1 1 0
12 3 |  2  2 |  1.00  1.00  1.00  1.07  1.16 | 4096 1487 721 226 87 44 5 1 1 0 | 1329 496 237 81 32 15 2 1 1 0
13 2 |  1  1 |  1.00  1.00  1.00  1.00  1.06 | 8192 3068 1146 489 171 81 27 12 0 | 2376 889 361 157 55 26 9 3 0
13 3 |  2  2 |  1.00  1.00  1.00  1.22  1.66 | 8192 3094 1266 503 176 70 20 9 3 3 0 | 2376 899 381 146 58 23 7 3 1 1 0
14 2 |  3  2 |  1.00  1.00  1.00  2.00  2.83 | 16384 6145 2685 1099 386 134 57 21 6 4 4 0 | 4265 1613 698 286 101 38 18 5 2 1 1 0
14 3 |  2  2 |  1.00  1.00  1.00  1.00  1.08 | 16384 6145 2684 1072 407 145 42 25 8 0 | 4265 1586 683 275 103 35 12 8 3 0
15 2 |  2  2 |  1.00  1.00  1.00  1.02  1.39 | 32768 12134 4829 1680 727 272 92 43 18 10 0 | 7560 2816 1132 390 164 54 23 13 4 3 0
15 3 |  1  1 |  1.00  1.00  1.00  1.00  1.19 | 32768 12533 5054 2065 818 333 142 30 9 0 | 7560 2858 1185 467 193 82 35 10 3 0
16 2 |  1  1 |  1.00  1.00  1.00  1.13  1.32 | 65536 24540 10598 4332 2017 765 255 124 35 11 3 0 | 13382 5027 2127 855 391 167 54 25 6 3 1 0
16 3 |  2  2 |  1.00  1.00  1.12  2.25  3.18 | 65536 24909 10412 3977 1698 625 234 99 54 28 18 0 | 13382 5045 2128 818 340 133 51 19 8 5 2 0
17 2 |  2  1 |  1.00  1.00  1.00  1.54  2.25 | 131072 49654 20867 8447 3519 1468 655 224 66 23 13 10 0 | 23803 9003 3772 1530 643 264 120 52 19 8 3 1 0
17 3 |  1  1 |  1.00  1.00  1.00  1.00  1.04 | 131072 48952 20763 8158 3065 1219 498 158 69 20 6 0 | 23803 8851 3737 1492 576 222 95 31 11 4 1 0
18 2 |  2  2 |  1.00  1.00  1.32  3.03  4.59 | 262144 97586 41267 16374 6780 2805 1229 606 249 94 34 32 16 0 | 42199 15726 6633 2647 1088 454 179 84 34 14 6 5 2 0
18 3 |  1  1 |  1.00  1.00  1.00  1.18  1.61 | 262144 99182 41022 17357 6772 2604 1063 444 195 93 26 12 0 | 42199 15969 6671 2745 1096 444 185 75 35 15 3 1 0
