n c | k_src k_states | C(n,lambda) sources for lambda=1.0,1.1,1.2,1.3,1.35 | chain (sources) | chain (states)
# n=19: forced orbits for 524288 sources in 217.6s
19 2 |  2  2 |  1.00  1.00  1.00  1.10  1.50 | 524288 195767 81225 32123 13658 6013 2474 837 334 173 42 8 0 | 74613 27936 11531 4536 1918 833 338 122 53 27 9 2 0
19 3 |  3  3 |  1.00  1.00  1.00  1.40  2.20 | 524288 197717 81517 33106 13526 5575 2213 891 389 97 42 6 6 6 0 | 74613 28041 11620 4800 1948 787 329 117 53 14 5 2 2 2 0
# n=20: forced orbits for 1048576 sources in 420.7s
20 2 |  1  1 |  1.00  1.00  1.00  1.17  1.54 | 1048576 392181 165155 67462 28034 11141 4534 1917 905 267 88 20 0 | 131873 49346 20663 8432 3477 1392 565 233 114 33 12 3 0
20 3 |  2  2 |  1.00  1.00  1.31  3.45  5.60 | 1048576 395031 164854 66542 27226 11150 4609 2037 761 266 111 67 47 12 12 0 | 131873 49598 20641 8350 3422 1363 547 230 96 38 17 9 6 1 1 0
# n=21: forced orbits for 2097152 sources in 653.2s
21 2 |  3  3 |  1.00  1.00  2.24  5.14  7.79 | 2097152 784532 325726 130221 52562 21888 8567 3251 1462 587 293 261 217 24 0 | 233042 87027 36252 14471 5856 2433 983 364 147 61 20 18 11 4 0
21 3 |  4  4 |  1.00  2.27  6.89 20.89 36.38 | 2097152 786595 328757 131606 52782 21197 8779 3344 1513 591 305 115 50 24 24 24 24 0 | 233042 87609 36534 14628 5882 2301 929 350 143 56 23 10 2 1 1 1 1 0
# n=22: forced orbits for 4194304 sources in 1290.2s
22 2 |  1  1 |  1.00  1.00  1.00  1.04  1.47 | 4194304 1566512 653767 263745 106959 42131 17184 6964 2897 1248 534 170 60 0 | 411664 154198 64247 25899 10514 4173 1678 663 269 116 48 18 7 0
22 3 |  2  2 |  1.00  1.00  1.00  2.01  3.27 | 4194304 1579265 654648 260866 105985 41687 17337 6697 2733 1011 440 226 95 48 28 0 | 411664 154762 64536 25764 10520 4164 1750 696 290 117 52 30 12 6 2 0
