# R(n,p,c,b) = max over prefix states and levels of N_s(j+b)/N_s(j).
# No threshold and no aggregation: the max is over every state and every level.
  n   p  c  states | b=1  b=2  b=3  b=4  b=5  b=6  b=7  b=8  b=9  b=10
# n=10: forced orbits for 1024 sources in 0.1s
 10   5  2      23 | 1.000  0.500  0.250  0.083  0.031  0.000  0.000  0.000  0.000  0.000
 10   5  3      23 | 1.000  1.000  1.000  1.000  0.200  0.071  0.031  0.000  0.000  0.000
# n=11: forced orbits for 2048 sources in 0.2s
 11   5  2      23 | 1.000  1.000  1.000  0.167  0.056  0.016  0.000  0.000  0.000  0.000
 11   5  3      23 | 1.000  1.000  1.000  0.500  0.273  0.107  0.047  0.000  0.000  0.000
# n=12: forced orbits for 4096 sources in 0.4s
 12   6  2      39 | 1.000  1.000  0.500  0.500  0.500  0.167  0.083  0.045  0.016  0.000
 12   6  3      39 | 1.000  1.000  1.000  0.250  0.167  0.077  0.043  0.016  0.000  0.000
# n=13: forced orbits for 8192 sources in 0.9s
 13   6  2      39 | 1.000  1.000  0.500  0.167  0.071  0.023  0.008  0.000  0.000  0.000
 13   6  3      39 | 1.000  1.000  1.000  0.500  0.333  0.143  0.056  0.020  0.008  0.000
# n=14: forced orbits for 16384 sources in 1.9s
 14   7  2      73 | 1.000  1.000  1.000  1.000  0.500  0.333  0.091  0.056  0.026  0.008
 14   7  3      73 | 1.000  1.000  1.000  0.500  0.200  0.050  0.022  0.008  0.000  0.000
# n=15: forced orbits for 32768 sources in 4.4s
 15   7  2      73 | 1.000  1.000  1.000  1.000  0.333  0.100  0.033  0.011  0.004  0.000
 15   7  3      73 | 1.000  1.000  0.500  0.200  0.083  0.034  0.011  0.004  0.000  0.000
# n=16: forced orbits for 65536 sources in 14.6s
 16   8  2     129 | 1.000  1.000  1.000  0.500  0.500  0.143  0.067  0.026  0.011  0.004
 16   8  3     129 | 1.000  1.000  1.000  1.000  1.000  0.500  0.091  0.029  0.012  0.004
