  L   |Col_L|  k(L)  ceil((L+1)/2)  match
  1         2     1              1   True
  2         3     2              2   True
  3         4     2              2   True
  4         6     3              3   True
  5         8     3              3   True
  6        10     4              4   True
  7        13     4              4   True
  8        17     5              5   True
  9        23     5              5   True
 10        29     6              6   True
 11        39     6              6   True
 12        54     7              7   True
 13        73     7              7   True
 14        99     8              8   True
 15       129     8              8   True
 16       173     9              9   True
 17       232     9              9   True
 18       314    10             10   True
