n   k   N_k        null=2^(n-k)   R_k
7   0   128        128            1.0000
7   1   52         64             0.8125
7   2   36         32             1.1250
7   3   23         16             1.4375
7   4   10         8              1.2500
7   5   8          4              2.0000
7   6   3          2              1.5000
7   7   0          1              0.0000   <- empty

8   0   256        256            1.0000
8   1   138        128            1.0781
8   2   49         64             0.7656
8   3   32         32             1.0000
8   4   26         16             1.6250
8   5   15         8              1.8750
8   6   5          4              1.2500
8   7   0          2              0.0000   <- empty

9   0   512        512            1.0000
9   1   267        256            1.0430
9   2   141        128            1.1016
9   3   79         64             1.2344
9   4   42         32             1.3125
9   5   18         16             1.1250
9   6   10         8              1.2500
9   7   10         4              2.5000
9   8   0          2              0.0000   <- empty

10  0   1024       1024           1.0000
10  1   503        512            0.9824
10  2   253        256            0.9883
10  3   142        128            1.1094
10  4   88         64             1.3750
10  5   54         32             1.6875
10  6   16         16             1.0000
10  7   12         8              1.5000
10  8   12         4              3.0000
10  9   0          2              0.0000   <- empty

11  0   2048       2048           1.0000
11  1   1020       1024           0.9961
11  2   549        512            1.0723
11  3   269        256            1.0508
11  4   152        128            1.1875
11  5   69         64             1.0781
11  6   36         32             1.1250
11  7   10         16             0.6250
11  8   6          8              0.7500
11  9   0          4              0.0000   <- empty

12  0   4096       4096           1.0000
12  1   2133       2048           1.0415
12  2   1040       1024           1.0156
12  3   481        512            0.9395
12  4   247        256            0.9648
12  5   106        128            0.8281
12  6   33         64             0.5156
12  7   17         32             0.5312
12  8   12         16             0.7500
12  9   6          8              0.7500
12  10  6          4              1.5000
12  11  0          2              0.0000   <- empty

13  0   8192       8192           1.0000
13  1   3857       4096           0.9417
13  2   1904       2048           0.9297
13  3   931        1024           0.9092
13  4   441        512            0.8613
13  5   197        256            0.7695
13  6   94         128            0.7344
13  7   30         64             0.4688
13  8   14         32             0.4375
13  9   9          16             0.5625
13  10  0          8              0.0000   <- empty

14  0   16384      1.638e+04      1.0000
14  1   8368       8192           1.0215
14  2   4092       4096           0.9990
14  3   1882       2048           0.9189
14  4   857        1024           0.8369
14  5   407        512            0.7949
14  6   208        256            0.8125
14  7   98         128            0.7656
14  8   22         64             0.3438
14  9   6          32             0.1875
14  10  6          16             0.3750
14  11  0          8              0.0000   <- empty

15  0   32768      3.277e+04      1.0000
15  1   15946      1.638e+04      0.9733
15  2   7671       8192           0.9364
15  3   3995       4096           0.9753
15  4   2055       2048           1.0034
15  5   1005       1024           0.9814
15  6   468        512            0.9141
15  7   227        256            0.8867
15  8   120        128            0.9375
15  9   39         64             0.6094
15  10  32         32             1.0000
15  11  18         16             1.1250
15  12  18         8              2.2500
15  13  18         4              4.5000
15  14  18         2              9.0000
15  15  18         1              18.0000
15  16  0          0.5            0.0000   <- empty

16  0   65536      6.554e+04      1.0000
16  1   33562      3.277e+04      1.0242
16  2   16877      1.638e+04      1.0301
16  3   8728       8192           1.0654
16  4   4109       4096           1.0032
16  5   2118       2048           1.0342
16  6   1206       1024           1.1777
16  7   580        512            1.1328
16  8   364        256            1.4219
16  9   165        128            1.2891
16  10  56         64             0.8750
16  11  38         32             1.1875
16  12  32         16             2.0000
16  13  20         8              2.5000
16  14  0          4              0.0000   <- empty

17  0   131072     1.311e+05      1.0000
17  1   65479      6.554e+04      0.9991
17  2   32370      3.277e+04      0.9879
17  3   15966      1.638e+04      0.9745
17  4   8373       8192           1.0221
17  5   4144       4096           1.0117
17  6   2144       2048           1.0469
17  7   1046       1024           1.0215
17  8   550        512            1.0742
17  9   315        256            1.2305
17  10  173        128            1.3516
17  11  71         64             1.1094
17  12  9          32             0.2812
17  13  0          16             0.0000   <- empty

18  0   262144     2.621e+05      1.0000
18  1   131321     1.311e+05      1.0019
18  2   66753      6.554e+04      1.0186
18  3   33361      3.277e+04      1.0181
18  4   16595      1.638e+04      1.0129
18  5   8443       8192           1.0306
18  6   4600       4096           1.1230
18  7   2498       2048           1.2197
18  8   1330       1024           1.2988
18  9   737        512            1.4395
18  10  313        256            1.2227
18  11  138        128            1.0781
18  12  76         64             1.1875
18  13  70         32             2.1875
18  14  42         16             2.6250
18  15  23         8              2.8750
18  16  19         4              4.7500
18  17  3          2              1.5000
18  18  0          1              0.0000   <- empty

