ablation: full-state pin (H=1,E=E(c)) at depth n, WITH vs WITHOUT hard-core
 n  c   deepest(HC)  deepest(noHC)  need   slack(noHC)   N_k(noHC) first 6
6  2   3            9              8      -1           [64, 32, 15, 9, 8, 3]
6  3   3            6              8      2            [64, 32, 17, 10, 2, 1]
7  2   4            7              9      2            [128, 54, 26, 18, 11, 8]
7  3   4            6              9      3            [128, 74, 26, 18, 12, 2]
8  2   3            6              10     4            [256, 124, 68, 24, 19, 14]
8  3   6            7              10     3            [256, 132, 70, 25, 13, 12]
9  2   4            5              11     6            [512, 216, 106, 39, 13, 2]
9  3   8            8              11     3            [512, 296, 161, 102, 66, 40]
10 2   5            9              12     3            [1024, 509, 249, 113, 61, 38]
10 3   7            9              12     3            [1024, 515, 254, 140, 81, 50]
11 2   6            9              13     4            [2048, 977, 487, 243, 112, 73]
11 3   7            8              13     5            [2048, 1071, 533, 306, 157, 79]
12 2   9            9              14     5            [4096, 2087, 1090, 525, 258, 105]
12 3   8            11             14     3            [4096, 2009, 1043, 515, 223, 142]
13 2   7            10             15     5            [8192, 4020, 1870, 941, 456, 234]
13 3   9            10             15     5            [8192, 4172, 1987, 963, 475, 207]
14 2   10           11             16     5            [16384, 8193, 4250, 2098, 934, 438]
14 3   8            11             16     5            [16384, 8191, 4118, 1994, 948, 419]
15 2   9            11             17     6            [32768, 16385, 7861, 3635, 1942, 1003]
15 3   8            16             17     1            [32768, 16383, 8085, 4036, 2053, 1052]
16 2   10           14             18     4            [65536, 32590, 16819, 8767, 4561, 2066]
16 3   10           14             18     4            [65536, 32946, 16743, 8110, 4167, 2043]
