 n  c   deepest   need(r=0)   slack   deepest/n
3  2   1         5           4       0.333   [0s]
3  3   4         5           1       1.333   [0s]
4  2   2         6           4       0.500   [0s]
4  3   2         6           4       0.500   [0s]
5  2   2         7           5       0.400   [0s]
5  3   4         7           3       0.800   [0s]
6  2   3         8           5       0.500   [0s]
6  3   3         8           5       0.500   [0s]
7  2   4         9           5       0.571   [0s]
7  3   4         9           5       0.571   [0s]
8  2   3         10          7       0.375   [0s]
8  3   6         10          4       0.750   [0s]
9  2   4         11          7       0.444   [0s]
9  3   8         11          3       0.889   [0s]
10 2   5         12          7       0.500   [0s]
10 3   7         12          5       0.700   [0s]
11 2   6         13          7       0.545   [0s]
11 3   7         13          6       0.636   [0s]
12 2   9         14          5       0.750   [0s]
12 3   8         14          6       0.667   [0s]
13 2   7         15          8       0.538   [0s]
13 3   9         15          6       0.692   [0s]
14 2   10        16          6       0.714   [0s]
14 3   8         16          8       0.571   [0s]
15 2   9         17          8       0.600   [0s]
15 3   8         17          9       0.533   [0s]
16 2   10        18          8       0.625   [1s]
16 3   10        18          8       0.625   [1s]
17 2   11        19          8       0.647   [2s]
17 3   10        19          9       0.588   [2s]
