# g_j(u) = fraction of W in {1,2}^u whose e_j flip changes the full column u-1 (defect still visible)
# columns: u, then for j=0..jmax: g_j(u) and ratio g_j(u)/g_j(u-1); last: fraction with e_0..e_jmax all invisible
  u    g_0(u)  ratio     g_1(u)  ratio     g_2(u)  ratio     g_3(u)  ratio     g_4(u)  ratio    all-invis
  6    0.4062    nan    0.8750    nan    1.0000    nan    1.0000    nan    1.0000    nan      0.0000
  7    0.3594  0.885    0.8750  1.000    1.0000  1.000    1.0000  1.000    1.0000  1.000      0.0000
  8    0.2344  0.652    0.8281  0.946    0.9531  0.953    1.0000  1.000    1.0000  1.000      0.0000
  9    0.2070  0.883    0.7500  0.906    0.9531  1.000    0.9844  0.984    1.0000  1.000      0.0000
 10    0.1582  0.764    0.6914  0.922    0.9082  0.953    0.9824  0.998    1.0000  1.000      0.0000
 11    0.1250  0.790    0.6348  0.918    0.8896  0.980    0.9746  0.992    1.0000  1.000      0.0000
 12    0.0986  0.789    0.5576  0.878    0.8506  0.956    0.9609  0.986    0.9922  0.992      0.0029
 13    0.0774  0.785    0.4885  0.876    0.8152  0.958    0.9424  0.981    0.9868  0.995      0.0035
 14    0.0643  0.831    0.4269  0.874    0.7756  0.951    0.9257  0.982    0.9799  0.993      0.0048
 15    0.0486  0.756    0.3627  0.850    0.7296  0.941    0.9037  0.976    0.9719  0.992      0.0060
 16    0.0378  0.777    0.3055  0.842    0.6755  0.926    0.8779  0.971    0.9597  0.987      0.0097
 17    0.0295  0.782    0.2584  0.846    0.6249  0.925    0.8521  0.971    0.9465  0.986      0.0133
 18    0.0224  0.757    0.2155  0.834    0.5745  0.919    0.8207  0.963    0.9333  0.986      0.0169
 19    0.0169  0.755    0.1795  0.833    0.5231  0.911    0.7862  0.958    0.9158  0.981      0.0233
