# n c  full_joint(n+2 hits, HC)  full_E(n+2 hits)  by #nonbinary symbols m: joint counts  | heuristic 4^n 2^(-1.306(n+2))
 3 2         0         0   {}  |      0.69  examples=[]
 3 3         0         5   {}  |      0.69  examples=[]
 4 2         0         7   {}  |      1.12  examples=[]
 4 3         0         5   {}  |      1.12  examples=[]
 5 2         2         3   {2: 1, 3: 1}  |      1.81  examples=['13232', '33232']
 5 3        14        28   {1: 2, 2: 3, 3: 6, 4: 3}  |      1.81  examples=['01323', '03332', '10203']
 6 2        15        53   {1: 2, 2: 4, 3: 4, 4: 4, 5: 1}  |      2.93  examples=['000131', '000310', '023131']
 6 3         0        22   {}  |      2.93  examples=[]
 7 2         6         6   {2: 2, 3: 3, 4: 1}  |      4.74  examples=['0223102', '0323102', '1223102']
 7 3        21        95   {2: 7, 3: 8, 4: 4, 5: 2}  |      4.74  examples=['0001213', '0131011', '0213011']
 8 2         0        68   {}  |      7.67  examples=[]
 8 3        10        98   {1: 3, 2: 3, 3: 2, 4: 1, 5: 1}  |      7.67  examples=['00022221', '01002221', '03002221']
 9 2         0        67   {}  |     12.41  examples=[]
 9 3        68       439   {3: 2, 4: 20, 5: 30, 6: 14, 7: 2}  |     12.41  examples=['000131301', '000301301', '001131301']
