# rho = N_k 2^(k+1) / (2^(n-k) F_{k+3});  rE = NE_k / 2^(n-k);  rHC = (N_k/NE_k) / (F_{k+3}/2^(k+1))

# n=8 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0     256    256    1.000    1.000    1.000      256.000
  1     124     87    0.969    0.935    0.906       96.000
  2      68     44    1.062    1.035    1.100       40.000
  3      24      9    0.750    0.750    0.562       16.000
max_k rho = 1.100 at k=2; deepest joint k=3; golden null < 1 from k=7; kmax/n=0.375

# n=8 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0     256    256    1.000    1.000    1.000      256.000
  1     132     97    1.031    0.980    1.010       96.000
  2      70     49    1.094    1.120    1.225       40.000
  3      25     17    0.781    1.360    1.062       16.000
  4      13      7    0.812    1.325    1.077        6.500
  5      12      4    1.500    1.016    1.524        2.625
  6       5      3    1.250    2.259    2.824        1.062
max_k rho = 2.824 at k=6; deepest joint k=6; golden null < 1 from k=7; kmax/n=0.750

# n=9 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0     512    512    1.000    1.000    1.000      512.000
  1     216    162    0.844    1.000    0.844      192.000
  2     106     57    0.828    0.860    0.713       80.000
  3      39     17    0.609    0.872    0.531       32.000
  4      13      4    0.406    0.757    0.308       13.000
max_k rho = 1.000 at k=0; deepest joint k=4; golden null < 1 from k=7; kmax/n=0.444

# n=9 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0     512    512    1.000    1.000    1.000      512.000
  1     296    214    1.156    0.964    1.115      192.000
  2     161    112    1.258    1.113    1.400       80.000
  3     102     53    1.594    1.039    1.656       32.000
  4      66     23    2.062    0.858    1.769       13.000
  5      40      6    2.500    0.457    1.143        5.250
  6      18      6    2.250    1.255    2.824        2.125
  7      10      6    2.500    2.793    6.982        0.859
  8      10      6    5.000    3.452   17.258        0.348
max_k rho = 17.258 at k=8; deepest joint k=8; golden null < 1 from k=7; kmax/n=0.889

# n=10 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    1024   1024    1.000    1.000    1.000     1024.000
  1     509    396    0.994    1.037    1.031      384.000
  2     249    177    0.973    1.137    1.106      160.000
  3     113     62    0.883    1.097    0.969       64.000
  4      61     26    0.953    1.049    1.000       26.000
  5      38      6    1.188    0.481    0.571       10.500
max_k rho = 1.106 at k=2; deepest joint k=5; golden null < 1 from k=8; kmax/n=0.500

# n=10 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    1024   1024    1.000    1.000    1.000     1024.000
  1     515    385    1.006    0.997    1.003      384.000
  2     254    159    0.992    1.002    0.994      160.000
  3     140     62    1.094    0.886    0.969       64.000
  4      81     22    1.266    0.669    0.846       26.000
  5      50     14    1.562    0.853    1.333       10.500
  6      33     12    2.062    1.369    2.824        4.250
  7      10      4    1.250    1.862    2.327        1.719
max_k rho = 2.824 at k=6; deepest joint k=7; golden null < 1 from k=8; kmax/n=0.700

# n=11 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    2048   2048    1.000    1.000    1.000     2048.000
  1     977    728    0.954    0.994    0.948      768.000
  2     487    285    0.951    0.936    0.891      320.000
  3     243     93    0.949    0.765    0.727      128.000
  4     112     36    0.875    0.791    0.692       52.000
  5      73      9    1.141    0.376    0.429       21.000
  6      31      4    0.969    0.486    0.471        8.500
max_k rho = 1.000 at k=0; deepest joint k=6; golden null < 1 from k=9; kmax/n=0.545

# n=11 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    2048   2048    1.000    1.000    1.000     2048.000
  1    1071    805    1.046    1.002    1.048      768.000
  2     533    325    1.041    0.976    1.016      320.000
  3     306    157    1.195    1.026    1.227      128.000
  4     157     79    1.227    1.239    1.519       52.000
  5      79     32    1.234    1.234    1.524       21.000
  6      38     14    1.188    1.387    1.647        8.500
  7      25     12    1.562    2.234    3.491        3.438
max_k rho = 3.491 at k=7; deepest joint k=7; golden null < 1 from k=9; kmax/n=0.636

# n=12 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    4096   4096    1.000    1.000    1.000     4096.000
  1    2087   1607    1.019    1.027    1.046     1536.000
  2    1090    752    1.064    1.104    1.175      640.000
  3     525    278    1.025    1.059    1.086      256.000
  4     258    119    1.008    1.135    1.144      104.000
  5     105     33    0.820    0.958    0.786       42.000
  6      60     14    0.938    0.878    0.824       17.000
  7      21      6    0.656    1.330    0.873        6.875
  8       6      2    0.375    1.918    0.719        2.781
  9       2      2    0.250    7.111    1.778        1.125
max_k rho = 1.778 at k=9; deepest joint k=9; golden null < 1 from k=10; kmax/n=0.750

# n=12 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    4096   4096    1.000    1.000    1.000     4096.000
  1    2009   1487    0.981    0.987    0.968     1536.000
  2    1043    721    1.019    1.106    1.127      640.000
  3     515    226    1.006    0.878    0.883      256.000
  4     223     87    0.871    0.960    0.837      104.000
  5     142     44    1.109    0.944    1.048       42.000
  6      46      5    0.719    0.409    0.294       17.000
  7      12      1    0.375    0.388    0.145        6.875
  8      11      1    0.688    0.523    0.360        2.781
max_k rho = 1.127 at k=2; deepest joint k=8; golden null < 1 from k=10; kmax/n=0.667

# n=13 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    8192   8192    1.000    1.000    1.000     8192.000
  1    4020   3068    0.981    1.018    0.999     3072.000
  2    1870   1146    0.913    0.981    0.895     1280.000
  3     941    489    0.919    1.039    0.955      512.000
  4     456    171    0.891    0.923    0.822      208.000
  5     234     81    0.914    1.055    0.964       84.000
  6      93     27    0.727    1.093    0.794       34.000
  7      34     12    0.531    1.643    0.873       13.750
max_k rho = 1.000 at k=0; deepest joint k=7; golden null < 1 from k=10; kmax/n=0.538

# n=13 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0    8192   8192    1.000    1.000    1.000     8192.000
  1    4172   3094    1.019    0.989    1.007     3072.000
  2    1987   1266    0.970    1.019    0.989     1280.000
  3     963    503    0.940    1.045    0.982      512.000
  4     475    176    0.928    0.912    0.846      208.000
  5     207     70    0.809    1.031    0.833       84.000
  6     104     20    0.812    0.724    0.588       34.000
  7      60      9    0.938    0.698    0.655       13.750
  8      16      3    0.500    1.079    0.539        5.562
  9       4      3    0.250    5.333    1.333        2.250
max_k rho = 1.333 at k=9; deepest joint k=9; golden null < 1 from k=10; kmax/n=0.692

# n=14 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0   16384  16384    1.000    1.000    1.000    16384.000
  1    8193   6145    1.000    1.000    1.000     6144.000
  2    4250   2685    1.038    1.011    1.049     2560.000
  3    2098   1099    1.024    1.048    1.073     1024.000
  4     934    386    0.912    1.017    0.928      416.000
  5     438    134    0.855    0.932    0.798      168.000
  6     230     57    0.898    0.933    0.838       68.000
  7     122     21    0.953    0.801    0.764       27.500
  8      53      6    0.828    0.651    0.539       11.125
  9      14      4    0.438    2.032    0.889        4.500
 10       4      4    0.250    8.790    2.197        1.820
max_k rho = 2.197 at k=10; deepest joint k=10; golden null < 1 from k=11; kmax/n=0.714

# n=14 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0   16384  16384    1.000    1.000    1.000    16384.000
  1    8191   6145    1.000    1.000    1.000     6144.000
  2    4118   2684    1.005    1.043    1.048     2560.000
  3    1994   1072    0.974    1.075    1.047     1024.000
  4     948    407    0.926    1.057    0.978      416.000
  5     419    145    0.818    1.055    0.863      168.000
  6     177     42    0.691    0.893    0.618       68.000
  7      86     25    0.672    1.353    0.909       27.500
  8      45      8    0.703    1.023    0.719       11.125
max_k rho = 1.048 at k=2; deepest joint k=8; golden null < 1 from k=11; kmax/n=0.571

# n=15 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0   32768  32768    1.000    1.000    1.000    32768.000
  1   16385  12134    1.000    0.987    0.987    12288.000
  2    7861   4829    0.960    0.983    0.943     5120.000
  3    3635   1680    0.887    0.924    0.820     2048.000
  4    1942    727    0.948    0.921    0.874      832.000
  5    1003    272    0.979    0.826    0.810      336.000
  6     424     92    0.828    0.817    0.676      136.000
  7     197     43    0.770    1.016    0.782       55.000
  8     107     18    0.836    0.968    0.809       22.250
  9      58     10    0.906    1.226    1.111        9.000
max_k rho = 1.111 at k=9; deepest joint k=9; golden null < 1 from k=12; kmax/n=0.600

# n=15 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0   32768  32768    1.000    1.000    1.000    32768.000
  1   16383  12533    1.000    1.020    1.020    12288.000
  2    8085   5054    0.987    1.000    0.987     5120.000
  3    4036   2065    0.985    1.023    1.008     2048.000
  4    2053    818    1.002    0.981    0.983      832.000
  5    1052    333    1.027    0.965    0.991      336.000
  6     581    142    1.135    0.920    1.044      136.000
  7     271     30    1.059    0.515    0.545       55.000
  8     120      9    0.938    0.431    0.404       22.250
max_k rho = 1.044 at k=6; deepest joint k=8; golden null < 1 from k=12; kmax/n=0.533

# n=16 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0   65536  65536    1.000    1.000    1.000    65536.000
  1   32590  24540    0.995    1.004    0.999    24576.000
  2   16819  10598    1.027    1.008    1.035    10240.000
  3    8767   4332    1.070    0.988    1.058     4096.000
  4    4561   2017    1.114    1.089    1.212     1664.000
  5    2066    765    1.009    1.128    1.138      672.000
  6     998    255    0.975    0.962    0.938      272.000
  7     598    124    1.168    0.965    1.127      110.000
  8     276     35    1.078    0.730    0.787       44.500
  9     182     11    1.422    0.430    0.611       18.000
 10      70      3    1.094    0.377    0.412        7.281
max_k rho = 1.212 at k=4; deepest joint k=10; golden null < 1 from k=13; kmax/n=0.625

# n=16 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0   65536  65536    1.000    1.000    1.000    65536.000
  1   32946  24909    1.005    1.008    1.014    24576.000
  2   16743  10412    1.022    0.995    1.017    10240.000
  3    8110   3977    0.990    0.981    0.971     4096.000
  4    4167   1698    1.017    1.003    1.020     1664.000
  5    2043    625    0.998    0.932    0.930      672.000
  6    1120    234    1.094    0.787    0.860      272.000
  7     608     99    1.188    0.758    0.900      110.000
  8     304     54    1.188    1.022    1.213       44.500
  9     182     28    1.422    1.094    1.556       18.000
 10      95     18    1.484    1.665    2.472        7.281
max_k rho = 2.472 at k=10; deepest joint k=10; golden null < 1 from k=13; kmax/n=0.625

# n=17 c=2
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0  131072 131072    1.000    1.000    1.000   131072.000
  1   66051  49654    1.008    1.002    1.010    49152.000
  2   33018  20867    1.008    1.011    1.019    20480.000
  3   16193   8447    0.988    1.043    1.031     8192.000
  4    8196   3519    1.000    1.057    1.057     3328.000
  5    4401   1468    1.074    1.017    1.092     1344.000
  6    2212    655    1.080    1.115    1.204      544.000
  7    1124    224    1.098    0.928    1.018      220.000
  8     480     66    0.938    0.791    0.742       89.000
  9     273     23    1.066    0.599    0.639       36.000
 10     165     13    1.289    0.693    0.893       14.562
 11      92     10    1.438    1.181    1.698        5.891
max_k rho = 1.698 at k=11; deepest joint k=11; golden null < 1 from k=13; kmax/n=0.647

# n=17 c=3
  k   NE_k    N_k      rE      rHC      rho   golden_null_N_k
  0  131072 131072    1.000    1.000    1.000   131072.000
  1   65021  48952    0.992    1.004    0.996    49152.000
  2   32461  20763    0.991    1.023    1.014    20480.000
  3   16177   8158    0.987    1.009    0.996     8192.000
  4    7770   3065    0.948    0.971    0.921     3328.000
  5    3972   1219    0.970    0.935    0.907     1344.000
  6    1932    498    0.943    0.970    0.915      544.000
  7    1020    158    0.996    0.721    0.718      220.000
  8     566     69    1.105    0.701    0.775       89.000
  9     277     20    1.082    0.513    0.556       36.000
 10     150      6    1.172    0.352    0.412       14.562
max_k rho = 1.014 at k=2; deepest joint k=10; golden null < 1 from k=13; kmax/n=0.588

# summary: n c max_rho at_k kmax_joint k_null(golden<1) kmax/n
  8 2   1.100   2   3   7 0.375
  8 3   2.824   6   6   7 0.750
  9 2   1.000   0   4   7 0.444
  9 3  17.258   8   8   7 0.889
 10 2   1.106   2   5   8 0.500
 10 3   2.824   6   7   8 0.700
 11 2   1.000   0   6   9 0.545
 11 3   3.491   7   7   9 0.636
 12 2   1.778   9   9  10 0.750
 12 3   1.127   2   8  10 0.667
 13 2   1.000   0   7  10 0.538
 13 3   1.333   9   9  10 0.692
 14 2   2.197  10  10  11 0.714
 14 3   1.048   2   8  11 0.571
 15 2   1.111   9   9  12 0.600
 15 3   1.044   6   8  12 0.533
 16 2   1.212   4  10  13 0.625
 16 3   2.472  10  10  13 0.625
 17 2   1.698  11  11  13 0.647
 17 3   1.014   2  10  13 0.588
