# u  pairs  lightcone_failures  columns_with_gap  dead_defects  min_dmin_minus_bound
  2        4        0          0          0        0
  3       12        0          1          0        0
  4       32        0          6          3        0
  5       80        0         22          9        0
  6      192        0         66         23        0
  7      448        0        196         49        0
  8     1024        0        479        126        0
  9     2304        0       1163        283        0
 10     5120        0       2720        645        0
 11    11264        0       6335       1409        0
 12    24576        0      14187       3154        0
