
# n=9 c=2  (kmax=4)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1    162    162     1     1.00   0
  2     57     32     2     1.78   0
  3     17      9     2     1.89   0
  4      4      2     2     2.00   0

# n=9 c=3  (kmax=8)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1    214    214     1     1.00   0
  2    112     63     2     1.78   0
  3     53     28     2     1.89   0
  4     23      8     4     2.88   0
  5      6      2     4     3.00   0
  6      6      1     6     6.00   0
  7      6      1     6     6.00   0
  8      6      1     6     6.00   0

# n=10 c=2  (kmax=5)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1    396    396     1     1.00   0
  2    177    100     2     1.77   0
  3     62     35     2     1.77   0
  4     26     11     4     2.36   0
  5      6      2     4     3.00   0

# n=10 c=3  (kmax=7)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1    385    385     1     1.00   0
  2    159     92     2     1.73   0
  3     62     35     2     1.77   0
  4     22     10     4     2.20   0
  5     14      6     4     2.33   0
  6     12      5     4     2.40   0
  7      4      1     4     4.00   0

# n=11 c=2  (kmax=6)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1    728    728     1     1.00   0
  2    285    153     2     1.86   0
  3     93     51     2     1.82   0
  4     36     14     4     2.57   0
  5      9      3     4     3.00   0
  6      4      1     4     4.00   0

# n=11 c=3  (kmax=7)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1    805    805     1     1.00   0
  2    325    179     2     1.82   0
  3    157     86     2     1.83   0
  4     79     31     4     2.55   0
  5     32     13     4     2.46   0
  6     14      5     4     2.80   0
  7     12      4     4     3.00   0

# n=12 c=2  (kmax=9)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1   1607   1607     1     1.00   0
  2    752    394     2     1.91   0
  3    278    147     2     1.89   0
  4    119     42     4     2.83   0
  5     33     15     4     2.20   0
  6     14      5     4     2.80   0
  7      6      2     4     3.00   0
  8      2      1     2     2.00   0
  9      2      1     2     2.00   0

# n=12 c=3  (kmax=8)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1   1487   1487     1     1.00   0
  2    721    382     2     1.89   0
  3    226    122     2     1.85   0
  4     87     34     4     2.56   0
  5     44     16     4     2.75   0
  6      5      2     4     2.50   0
  7      1      1     1     1.00   0
  8      1      1     1     1.00   0

# n=13 c=2  (kmax=7)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1   3068   3068     1     1.00   0
  2   1146    608     2     1.88   0
  3    489    261     2     1.87   0
  4    171     66     4     2.59   0
  5     81     31     4     2.61   0
  6     27      9     8     3.00   0
  7     12      3     8     4.00   0

# n=13 c=3  (kmax=9)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1   3094   3094     1     1.00   0
  2   1266    675     2     1.88   0
  3    503    269     2     1.87   0
  4    176     64     4     2.75   0
  5     70     25     4     2.80   0
  6     20      7     6     2.86   0
  7      9      3     4     3.00   0
  8      3      1     3     3.00   0
  9      3      1     3     3.00   0

# n=14 c=2  (kmax=10)
  k    N_k    D_k  smax  N_k/D_k  identity_violations
  1   6145   6145     1     1.00   0
  2   2685   1403     2     1.91   0
