language R13: 10 primitive patterns of period <= 12 lie in it: ['01', '001', '0001', '00001', '0000101', '00001001', '00001000101', '00001001001', '00001010001', '000010000101']
 pattern      rot  max k_lang/n (at n)   #n with full survival   max E2/n  max E3/n   worst witness (bits prefix|forced through failure)
 01             0   0.500 (n= 20)            0               0.353   0.312    01010101010101010101|01010001001
 10             1   0.462 (n= 13)            0               0.143   0.226    1010101010101|0001001
 001            0   0.615 (n= 13)            0               0.167   0.143    0010010010010|010000101
 010            1   0.429 (n= 14)            0               0.214   0.312    01001001001001|0000101
 100            2   0.308 (n= 13)            0               0.261   0.182    1001001001001|00000
 0001           0   0.562 (n= 16)            0               0.333   0.133    0001000100010001|0101000101
 0010           1   0.476 (n= 21)            0               0.111   0.571    001000100010001000100|01010101001
 0100           2   0.433 (n= 30)            0               0.286   0.400    010001000100010001000100010001|01000010010001
 1000           3   0.353 (n= 17)            0               0.125   0.286    10001000100010001|0101001
 00001          0   0.233 (n= 30)            0               0.105   0.190    000010000100001000010000100001|00100000
 00010          1   0.385 (n= 13)            0               0.200   0.120    0001000010000|100101
 00100          2   0.395 (n= 38)            0               0.217   0.150    00100001000010000100001000010000100001|0100010000100101
 01000          3   0.286 (n= 35)            0               0.194   0.476    01000010000100001000010000100001000|01010001001
 10000          4   0.308 (n= 13)            0               0.333   0.211    1000010000100|10011
 0000101        0   0.600 (n= 15)            0               0.154   0.259    000010100001010|1000100000
 0001010        1   0.375 (n= 16)            0               0.308   0.200    0001010000101000|0100101
 0010100        2   0.462 (n= 13)            0               0.312   0.174    0010100001010|1010000
 0101000        3   0.250 (n= 16)            0               0.300   0.368    0101000010100001|00011
 1010000        4   0.462 (n= 13)            0               0.214   0.209    1010000101000|0100101
 0100001        5   0.318 (n= 22)            0               0.167   0.190    0100001010000101000010|10001001
 1000010        6   0.250 (n= 32)            0               0.200   0.267    10000101000010100001010000101000|010100011
 00001001       0   0.286 (n= 28)            0               0.357   0.143    0000100100001001000010010000|100100101
 00010010       1   0.231 (n= 13)            0               0.200   0.217    0001001000010|0101
 00100100       2   0.545 (n= 22)            0               0.154   0.263    0010010000100100001001|0010010010011
 01001000       3   0.435 (n= 23)            0               0.278   0.375    01001000010010000100100|10010010011
 10010000       4   0.250 (n= 16)            0               0.333   0.278    1001000010010000|10011
 00100001       5   0.238 (n= 21)            0               0.348   0.138    001000010010000100100|100000
 01000010       6   0.429 (n= 21)            0               0.115   0.231    010000100100001001000|0100100000
 10000100       7   0.318 (n= 22)            0               0.308   0.500    1000010010000100100001|00100000
 00001000101    0   0.286 (n= 14)            0               0.238   0.429    00001000101000|01011
 00010001010    1   0.421 (n= 19)            0               0.143   0.346    0001000101000010001|000010001
 00100010100    2   0.296 (n= 27)            0               0.281   0.143    001000101000010001010000100|010010011
 01000101000    3   0.438 (n= 16)            0               0.212   0.154    0100010100001000|10100000
 10001010000    4   0.625 (n= 16)            0               0.214   0.217    1000101000010001|00010100011
 00010100001    5   0.385 (n= 13)            0               0.160   0.214    0001010000100|100000
 00101000010    6   0.429 (n= 14)            0               0.176   0.357    00101000010001|0100011
 01010000100    7   0.292 (n= 24)            0               0.211   0.385    010100001000101000010001|00001011
 10100001000    8   0.462 (n= 13)            0               0.200   0.192    1010000100010|0010011
 01000010001    9   0.316 (n= 19)            0               0.304   0.214    0100001000101000010|0010011
 10000100010   10   0.227 (n= 22)            0               0.143   0.200    1000010001010000100010|001011
 00001001001    0   0.481 (n= 27)            0               0.333   0.200    000010010010000100100100001|00001000010001
 00010010010    1   0.393 (n= 28)            0               0.120   0.095    0001001001000010010010000100|001000010001
 00100100100    2   0.250 (n= 32)            0               0.308   0.500    00100100100001001001000010010010|000100000
 01001001000    3   0.345 (n= 29)            0               0.357   0.143    01001001000010010010000100100|10000100101
 10010010000    4   0.267 (n= 30)            0               0.200   0.185    100100100001001001000010010010|000100101
 00100100001    5   0.231 (n= 13)            0               0.231   0.182    0010010000100|0011
 01001000010    6   0.294 (n= 17)            0               0.235   0.117    01001000010010010|000101
 10010000100    7   0.625 (n= 16)            0               0.241   0.148    1001000010010010|00010010011
 00100001001    8   0.471 (n= 17)            0               0.111   0.312    00100001001001000|010010011
 01000010010    9   0.333 (n= 18)            0               0.471   0.379    010000100100100001|0010011
 10000100100   10   0.261 (n= 23)            0               0.261   0.190    10000100100100001001001|0010011
 00001010001    0   0.357 (n= 28)            0               0.308   0.167    0000101000100001010001000010|00010101001
 00010100010    1   0.375 (n= 16)            0               0.222   0.267    0001010001000010|0001011
 00101000100    2   0.280 (n= 25)            0               0.200   0.273    0010100010000101000100001|00100101
 01010001000    3   0.436 (n= 39)            0               0.200   0.174    010100010000101000100001010001000010100|010000100001000011
 10100010000    4   0.375 (n= 40)            0               0.095   0.172    1010001000010100010000101000100001010001|0000100001000011
 01000100001    5   0.317 (n= 41)            0               0.143   0.312    01000100001010001000010100010000101000100|00100001000011
 10001000010    6   0.400 (n= 15)            0               0.267   0.190    100010000101000|0100011
 00010000101    7   0.292 (n= 24)            0               0.238   0.121    000100001010001000010100|00100000
 00100001010    8   0.462 (n= 13)            0               0.105   0.133    0010000101000|0100101
 01000010100    9   0.286 (n= 14)            0               0.208   0.375    01000010100010|00011
 10000101000   10   0.211 (n= 19)            0               0.200   0.294    1000010100010000101|00011
 000010000101   0   0.400 (n= 15)            0               0.348   0.263    000010000101000|0100011
 000100001010   1   0.321 (n= 28)            0               0.176   0.100    0001000010100001000010100001|0010000101
 001000010100   2   0.462 (n= 13)            0               0.229   0.235    0010000101000|0100101
 010000101000   3   0.423 (n= 26)            0               0.172   0.190    01000010100001000010100001|001001000011
 100001010000   4   0.438 (n= 16)            0               0.222   0.150    1000010100001000|10100000
 000010100001   5   0.286 (n= 14)            0               0.214   0.190    00001010000100|10001
 000101000010   6   0.533 (n= 15)            0               0.133   0.214    000101000010000|100001011
