language Rexact: 5 primitive patterns of period <= 12 lie in it: ['01', '001', '00001', '0000101', '00001001']
 pattern      rot  max k_lang/n (at n)   #n with full survival   max E2/n  max E3/n   worst witness (bits prefix|forced through failure)
 01             0   0.500 (n= 20)            0               0.353   0.312    01010101010101010101|01010001001
 10             1   0.462 (n= 13)            0               0.143   0.226    1010101010101|0001001
 001            0   0.615 (n= 13)            0               0.167   0.143    0010010010010|010000101
 010            1   0.429 (n= 14)            0               0.214   0.312    01001001001001|0000101
 100            2   0.308 (n= 13)            0               0.261   0.182    1001001001001|00000
 00001          0   0.233 (n= 30)            0               0.105   0.190    000010000100001000010000100001|00100000
 00010          1   0.385 (n= 13)            0               0.200   0.120    0001000010000|100101
 00100          2   0.286 (n= 21)            0               0.217   0.150    001000010000100001000|0100000
 01000          3   0.278 (n= 18)            0               0.194   0.476    010000100001000010|010001
 10000          4   0.308 (n= 13)            0               0.333   0.211    1000010000100|10011
 0000101        0   0.600 (n= 15)            0               0.154   0.259    000010100001010|1000100000
 0001010        1   0.375 (n= 16)            0               0.308   0.200    0001010000101000|0100101
 0010100        2   0.462 (n= 13)            0               0.312   0.174    0010100001010|1010000
 0101000        3   0.214 (n= 28)            0               0.300   0.368    0101000010100001010000101000|0100101
 1010000        4   0.462 (n= 13)            0               0.214   0.209    1010000101000|0100101
 0100001        5   0.292 (n= 24)            0               0.167   0.190    010000101000010100001010|00010011
 1000010        6   0.219 (n= 32)            0               0.200   0.267    10000101000010100001010000101000|01010001
 00001001       0   0.217 (n= 23)            0               0.357   0.143    00001001000010010000100|100000
 00010010       1   0.231 (n= 13)            0               0.200   0.217    0001001000010|0101
 00100100       2   0.364 (n= 22)            0               0.154   0.263    0010010000100100001001|001001001
 01001000       3   0.261 (n= 23)            0               0.278   0.375    01001000010010000100100|1001001
 10010000       4   0.250 (n= 16)            0               0.333   0.278    1001000010010000|10011
 00100001       5   0.238 (n= 21)            0               0.348   0.138    001000010010000100100|100000
 01000010       6   0.429 (n= 21)            0               0.115   0.231    010000100100001001000|0100100000
 10000100       7   0.318 (n= 22)            0               0.308   0.500    1000010010000100100001|00100000
largest max k_lang/n over all patterns and rotations: [(0.6153846153846154, '001'), (0.6, '0000101'), (0.5, '01'), (0.46153846153846156, '1010000'), (0.46153846153846156, '10')]
