 m   |R_m|   ratio   sat-calls  new minimal forbidden factors   (time)
 1       2     nan          2  -   (0.0s) recorded=PASS
 2       3   1.500          4  11   (0.0s) recorded=PASS
 3       5   1.667          5  -   (0.0s) recorded=PASS
 4       8   1.600          8  -   (0.0s) recorded=PASS
 5      12   1.500         13  00000   (0.0s) recorded=PASS
 6      17   1.417         18  101001   (0.0s) recorded=PASS
 7      25   1.471         26  0100101   (0.0s) recorded=PASS
 8      36   1.440         36  -   (0.0s) recorded=PASS
 9      50   1.389         51  010010001   (0.0s) recorded=PASS
10      68   1.360         70  0101000101,0101010000   (0.0s) recorded=PASS
11      91   1.338         93  01010001001,10010001001   (0.0s) recorded=PASS
12     119   1.308        122  010010000101,010100010001,100100010000   (0.0s) recorded=PASS
13     156   1.311        158  0001000010001,1001000010001   (0.0s) recorded=PASS
14     199   1.276        202  00100010000101,01000010001001,10101000010000   (0.0s)
15     251   1.261        253  001000100001001,010000100010000   (0.0s)
16     316   1.259        318  0101000010000101,1000100001010001   (0.1s)
17     393   1.244        394  00100010001010100   (0.1s)
18     487   1.239        490  001000010001010100,010000101000010001,010001000100010101   (0.1s)
19     596   1.224        604  0000100010001000101,0010001000010000101,0100001000100010101,0100001000101010100,0101000010001010001,0101000010100001000,0101000010101010100,1001000010101010100   (0.2s)
20     721   1.210        729  00001000100010001001,00010000100001010001,01000100010101010100,01001001000010000101,01010000100001001001,01010000101000010101,10010000101000010101,10010001010101010100   (0.3s)
21     875   1.214        883  000010001000100010001,001010000100010001001,010001001000010000101,010001001001001001001,010100001000010000101,100001000010101010100,100100010100001010001,101010001000010000101   (0.4s)
22    1054   1.205       1065  0000100010100001010001,0001000010100001010100,0010100001000100010000,0100010001010101010100,0101000010100001001000,0101000010100001010001,1000010000100001010100,1001000010100001010001,1001000100010001000101,1001000100010001010001,1001000101000100001000   (0.5s)
23    1255   1.191       1268  00001000100100100001001,00010000101000100001001,00010010000100001010001,00100010000100001001001,00101000100001000010101,00101010101000100001000,01000010001010101010100,01000100010100001010001,01010000100010001001000,10010010000100001010001,10010101010100010000101,10100001000010100001000,10100001000101000010001   (0.7s)
24    1493   1.190       1509  000100100001000010000101,001000100001000010000101,001000100010100001000100,010000100100001000010101,010001000100010001001000,010001000101010101010100,010001010001000010000101,010010000100100100001001,010100010000100001001001,010100010000100001010100,100001000010000101010101,100100001001000010000101,100100010101010101010100,101000010000101000010101,101000100100001001001000,101010000100100001001000   (0.9s)
25    1780   1.192       1789  0000100001010000101010101,0000100010010000100001001,0001000100010001001001001,0010001000100010001010001,0100010001000100010001001,0100100100001000010000101,0101000100001000010000101,1001001000010000101010100,1001010000101000100001000   (1.2s)
