loaded N_k for 62 (n, c) pairs; skeptic/pruned overlap checks: {(21, 2): 'agree', (21, 3): 'agree', (22, 2): 'agree', (22, 3): 'agree'}
 n c  D  N_D   C(l=1.000)@k  C(l=1.100)@k  C(l=1.200)@k  C(l=1.300)@k  C(l=1.415)@k   D+log2(N_D)-n  (<=1.585 needed)
 3 2  1     1       0.25@1         0.27@1         0.29@1         0.31@1         0.33@1      -2.00
 3 3  4     2       4.00@4         5.28@4         6.96@4         9.19@4        12.64@4       2.00
 4 2  2     7       1.75@2         2.01@2         2.31@2         2.65@2         3.11@2       0.81
 4 3  2     2       0.50@2         0.57@2         0.66@2         0.76@2         0.89@2      -1.00
 5 2  2     1       0.56@1         0.60@1         0.65@1         0.69@1         0.75@1      -3.00
 5 3  4     2       1.00@4         1.32@4         1.74@4         2.30@4         3.16@4       0.00
 6 2  3     3       0.69@1         0.74@1         0.79@1         0.85@1         0.92@1      -1.42
 6 3  3     4       0.88@1         0.94@1         1.01@1         1.14@2         1.33@2      -1.00
 7 2  4     5       0.64@1         0.82@4         1.09@4         1.44@4         1.98@4      -0.68
 7 3  4    10       1.25@4         1.65@4         2.18@4         2.87@4         3.95@4       0.32
 8 2  3     9       0.69@2         0.79@2         0.91@2         1.04@2         1.22@2      -1.83
 8 3  6     3       0.77@2         1.14@6         1.72@6         2.61@6         4.21@6      -0.42
 9 2  4     4       0.63@1         0.68@1         0.73@1         0.78@1         0.84@1      -3.00
 9 3  8     6       3.00@8         5.22@8         9.09@8        15.83@8        29.96@8       1.58
10 2  5     6       0.77@1         0.83@1         0.91@2         1.05@2         1.28@4      -2.42
10 3  7     4       0.75@1         1.14@6         1.72@6         2.61@6         4.21@6      -1.00
11 2  6     4       0.71@1         0.76@1         0.82@1         0.88@1         0.99@2      -3.00
11 3  7    12       0.79@1         1.22@7         1.98@7         3.22@7         5.62@7      -0.42
12 2  9     2       0.78@1         0.84@2         0.97@2         1.62@9         3.33@9      -2.00
12 3  8     1       0.73@1         0.81@2         0.93@2         1.07@2         1.45@5      -4.00
13 2  7    12       0.75@1         0.80@1         0.86@1         0.92@1         1.40@7      -2.42
13 3  9     3       0.76@1         0.81@1         0.87@1         1.22@9         2.50@9      -2.42
14 2 10     4       0.75@1         0.80@1         1.00@10        2.00@10        4.44@10     -2.00
14 3  8     8       0.75@1         0.80@1         0.86@2         0.99@2         1.46@7      -3.00
15 2  9    10       0.74@1         0.79@1         0.85@1         1.02@9         2.08@9      -2.68
15 3  8     9       0.76@1         0.82@1         0.88@1         0.97@6         1.56@6      -3.83
16 2 10     3       0.75@1         0.80@1         0.86@1         1.13@4         1.81@7      -4.42
16 3 10    18       0.76@1         0.81@1         1.12@10        2.25@10        4.99@10     -1.83
17 2 11    10       0.76@1         0.81@1         0.87@1         1.54@11        3.70@11     -2.68
17 3 10     6       0.75@1         0.80@1         0.86@1         0.96@2         1.37@6      -4.42
18 2 12    16       0.74@1         0.80@1         1.32@12        3.03@12        7.89@12     -2.00
18 3 11    12       0.76@1         0.81@1         0.87@1         1.18@9         2.42@9      -3.42
19 2 11     8       0.75@1         0.80@1         0.86@1         1.10@9         2.25@9      -5.00
19 3 13     6       0.75@1         0.81@1         0.87@1         1.40@13        3.94@13     -3.42
20 2 11    20       0.75@1         0.80@1         0.86@1         1.17@8         2.21@8      -4.68
20 3 14    12       0.75@1         0.81@1         1.31@14        3.45@14       10.52@14     -2.42
21 2 13    24       0.75@1         0.97@12        2.24@12        5.14@12       13.38@12     -3.42
21 3 16    24       0.75@1         2.27@16        6.89@16       20.89@16       74.80@16     -0.42
22 2 12    60       0.75@1         0.80@1         0.86@1         1.04@10        2.31@10     -4.09
22 3 14    28       0.75@1         0.81@1         0.87@1         2.01@14        6.14@14     -3.19
23 2 16     8       0.75@1         0.80@1         0.86@1         1.74@16        6.23@16     -4.00
23 3 16     2       0.75@1         0.80@1         0.86@1         1.03@12        2.68@12     -6.00
24 2 14    66       0.75@1         0.80@1         0.86@1         1.18@14        3.62@14     -3.96
24 3 16    12       0.75@1         0.81@1         0.86@1         1.31@16        4.67@16     -4.42
25 2 16    12       0.75@1         0.80@1         0.86@1         1.00@12        2.60@12     -5.42
25 3 16     6       0.75@1         0.80@1         0.86@1         0.96@10        2.14@10     -6.42
26 2 15   318       0.75@1         0.80@1         1.24@15        3.51@15       11.61@15     -2.69
26 3 15    64       0.75@1         0.80@1         0.86@1         1.01@11        2.42@11     -5.00
27 2 17    36       0.75@1         0.80@1         0.86@1         1.29@13        4.67@17     -4.83
27 3 19     5       0.75@1         0.80@1         0.86@1         1.16@16        4.62@19     -5.68
28 2 21    32       0.75@1         1.07@21        4.59@21       19.70@21      105.05@21     -2.00
28 3 17    24       0.75@1         0.80@1         0.86@1         0.95@2         2.86@14     -6.42
29 2 19    52       0.75@1         0.80@1         0.86@1         2.64@19       12.00@19     -4.30
29 3 16   296       0.75@1         0.80@1         0.86@1         1.16@15        3.84@15     -4.79
30 2 18    38       0.75@1         0.80@1         0.86@1         1.23@16        4.41@16     -6.75
30 3 19    44       0.75@1         0.80@1         0.86@1         1.12@19        5.08@19     -5.54
31 2 21    60       0.75@1         0.80@1         1.08@21        4.62@21       24.62@21     -4.09
31 3 22     8       0.75@1         0.80@1         0.86@1         1.52@22        8.75@22     -6.00
32 2 21    40       0.75@1         0.80@1         0.86@1         1.79@18        8.21@21     -5.68
32 3 20    12       0.75@1         0.80@1         0.86@1         2.59@19       11.77@19     -8.42
