 n c  D   maxN/null(k)   maxM4/null(k)   maxFq/null(k)   time   M4_k   Fq_k
 8 2   3    1.10 ( 2)      4.00 ( 2)       0.07 ( 2)      0s   [14, 10, 2]   [2, 3, 1]
 8 3   6    2.82 ( 6)     15.06 ( 6)       0.94 ( 6)      0s   [16, 12, 6, 4, 2, 1]   [2, 3, 5, 3, 2, 1]
 9 2   4    0.84 ( 1)      3.60 ( 2)       0.15 ( 4)      0s   [28, 18, 6, 2]   [2, 3, 4, 2]
 9 3   8   17.26 ( 8)     46.02 ( 8)       2.88 ( 8)      0s   [30, 24, 13, 5, 1, 1, 1, 1]   [2, 3, 5, 5, 1, 1, 1, 1]
10 2   5    1.11 ( 2)      5.00 ( 3)       0.19 ( 4)      0s   [58, 41, 20, 8, 2]   [2, 3, 5, 5, 2]
10 3   7    2.82 ( 6)     15.06 ( 6)       0.94 ( 6)      0s   [58, 37, 22, 6, 5, 4, 1]   [2, 3, 5, 6, 4, 4, 1]
11 2   6    0.95 ( 1)      3.60 ( 2)       0.14 ( 5)      0s   [116, 72, 28, 10, 3, 1]   [2, 3, 5, 5, 3, 1]
11 3   7    3.49 ( 7)     18.62 ( 7)       1.16 ( 7)      0s   [117, 75, 44, 22, 10, 5, 4]   [2, 3, 5, 8, 8, 5, 4]
12 2   9    1.78 ( 9)     14.22 ( 9)       0.89 ( 9)      0s   [228, 149, 72, 31, 11, 5, 2, 1, 1]   [2, 3, 5, 8, 9, 5, 2, 1, 1]
12 3   8    1.13 ( 2)      5.75 ( 8)       0.36 ( 8)      0s   [226, 160, 68, 29, 14, 2, 1, 1]   [2, 3, 5, 8, 7, 2, 1, 1]
13 2   7    1.00 ( 1)      4.57 ( 5)       0.24 ( 6)      1s   [434, 261, 132, 49, 24, 7, 2]   [2, 3, 5, 8, 11, 8, 2]
13 3   9    1.33 ( 9)      7.11 ( 9)       0.44 ( 9)      1s   [445, 279, 130, 50, 21, 7, 3, 1, 1]   [2, 3, 5, 8, 9, 6, 3, 1, 1]
14 2  10    2.20 (10)     17.58 (10)       0.55 (10)      2s   [840, 507, 246, 96, 36, 17, 6, 3, 2, 2]   [2, 3, 5, 8, 10, 9, 3, 2, 1, 1]
14 3   8    1.05 ( 2)      4.31 ( 8)       0.27 ( 8)      2s   [860, 528, 261, 98, 36, 11, 7, 3]   [2, 3, 5, 8, 13, 8, 7, 3]
15 2   9    1.11 ( 9)      5.33 ( 9)       0.33 ( 9)      5s   [1644, 944, 367, 162, 61, 28, 16, 5, 3]   [2, 3, 5, 8, 11, 10, 10, 4, 3]
15 3   8    1.04 ( 6)      4.35 ( 6)       0.15 ( 7)      5s   [1663, 943, 430, 189, 87, 37, 9, 3]   [2, 3, 5, 8, 13, 17, 8, 3]
16 2  10    1.21 ( 4)      3.80 ( 4)       0.17 ( 7)     11s   [3238, 1867, 847, 395, 158, 51, 26, 8, 3, 1]   [2, 3, 5, 8, 13, 20, 19, 6, 3, 1]
16 3  10    2.47 (10)      6.59 (10)       0.28 ( 9)     10s   [3236, 1854, 810, 360, 144, 58, 23, 10, 6, 3]   [2, 3, 5, 8, 13, 18, 14, 7, 5, 2]
17 2  11    1.70 (11)      5.43 (11)       0.17 (11)     22s   [6254, 3459, 1511, 634, 263, 123, 47, 16, 8, 3, 2]   [2, 3, 5, 8, 13, 21, 21, 10, 6, 2, 1]
17 3  10    1.01 ( 2)      2.98 ( 3)       0.11 ( 9)     20s   [6206, 3432, 1526, 597, 230, 96, 34, 13, 4, 1]   [2, 3, 5, 8, 13, 19, 19, 9, 4, 1]
18 2  12    3.36 (12)     10.07 (12)       0.42 (11)     53s   [11921, 6369, 2709, 1172, 503, 212, 102, 44, 16, 7, 6, 3]   [2, 3, 5, 8, 13, 21, 30, 22, 13, 6, 5, 2]
18 3  11    1.29 ( 9)      4.00 ( 9)       0.18 ( 9)     73s   [12090, 6475, 2937, 1202, 487, 200, 84, 36, 18, 4, 2]   [2, 3, 5, 8, 13, 21, 28, 22, 13, 3, 1]
