mode  n  c  deepest  maxR(k)  argmaxk  slope(bits/col)   N_k ...
RW    3  2        1     1.00        0       n/a   [8, 1, 0, 0, 0, 0]
E     3  2        1     1.00        0       n/a   [8, 2, 0, 0, 0, 0]
HC    3  2        5    16.00        5       n/a   [8, 7, 6, 5, 5, 4]
RW    3  3        4     4.00        4       n/a   [8, 6, 2, 2, 2, 0]
E     3  3        4     4.00        4       n/a   [8, 6, 2, 2, 2, 0]
HC    3  3        5    16.00        5       n/a   [8, 7, 6, 5, 5, 4]
RW    4  2        2     1.75        2       n/a   [16, 8, 7, 0, 0, 0, 0]
E     4  2        2     2.75        2    -0.270   [16, 12, 11, 0, 0, 0, 0]
HC    4  2        6     5.00        4    -0.314   [16, 11, 10, 8, 5, 2, 1]
RW    4  3        2     1.00        0       n/a   [16, 3, 2, 0, 0, 0, 0]
E     4  3        3     1.00        0       n/a   [16, 4, 4, 1, 0, 0, 0]
HC    4  3        6     5.00        4    -0.314   [16, 11, 10, 8, 5, 2, 1]
RW    5  2        2     1.00        0       n/a   [32, 9, 1, 0, 0, 0, 0, 0]
E     5  2        2     1.00        0       n/a   [32, 14, 1, 0, 0, 0, 0, 0]
HC    5  2        7    12.00        7    -0.405   [32, 21, 16, 13, 10, 6, 4, 3]
RW    5  3        4     1.00        0       n/a   [32, 12, 6, 2, 2, 0, 0, 0]
E     5  3        7     8.00        7    -0.650   [32, 18, 13, 7, 4, 4, 2, 2]
HC    5  3        7    12.00        7    -0.405   [32, 21, 16, 13, 10, 6, 4, 3]
RW    6  2        3     1.00        0       n/a   [64, 22, 6, 3, 0, 0, 0, 0, 0]
E     6  2        8    12.00        8    -0.783   [64, 32, 15, 9, 8, 3, 3, 3, 3]
HC    6  2        8    28.00        8    -0.320   [64, 50, 38, 31, 28, 23, 15, 7, 7]
RW    6  3        3     1.00        0    -1.208   [64, 28, 12, 4, 0, 0, 0, 0, 0]
E     6  3        6     1.25        3    -0.895   [64, 32, 17, 10, 2, 1, 1, 0, 0]
HC    6  3        8    28.00        8    -0.320   [64, 50, 38, 31, 28, 23, 15, 7, 7]
RW    7  2        4     1.00        0    -1.276   [128, 41, 17, 9, 5, 0, 0, 0, 0, 0]
E     7  2        7     3.00        6    -0.783   [128, 54, 26, 18, 11, 8, 6, 3, 0, 0]
HC    7  2        9    44.00        8    -0.363   [128, 99, 86, 69, 57, 38, 30, 26, 22, 11]
RW    7  3        4     1.25        4    -0.941   [128, 58, 20, 14, 10, 0, 0, 0, 0, 0]
E     7  3        6     1.50        4    -0.887   [128, 74, 26, 18, 12, 2, 2, 0, 0, 0]
HC    7  3        9    44.00        8    -0.363   [128, 99, 86, 69, 57, 38, 30, 26, 22, 11]
RW    8  2        3     1.00        0    -1.547   [256, 87, 44, 9, 0, 0, 0, 0, 0, 0, 0]
E     8  2        6     2.50        6    -0.792   [256, 124, 68, 24, 19, 14, 10, 0, 0, 0, 0]
HC    8  2       10   108.00       10    -0.330   [256, 184, 157, 120, 90, 83, 70, 48, 39, 27, 27]
RW    8  3        6     1.00        0    -1.272   [256, 97, 49, 17, 7, 4, 3, 0, 0, 0, 0]
E     8  3        7     2.50        7    -0.960   [256, 132, 70, 25, 13, 12, 5, 5, 0, 0, 0]
HC    8  3       10   108.00       10    -0.330   [256, 184, 157, 120, 90, 83, 70, 48, 39, 27, 27]
RW    9  2        4     1.00        0    -1.624   [512, 162, 57, 17, 4, 0, 0, 0, 0, 0, 0, 0]
E     9  2        5     1.00        0    -1.307   [512, 216, 106, 39, 13, 2, 0, 0, 0, 0, 0, 0]
HC    9  2       11   244.00       11    -0.284   [512, 376, 312, 271, 228, 162, 133, 116, 98, 75, 66, 61]
RW    9  3        8     3.00        8    -1.097   [512, 214, 112, 53, 23, 6, 6, 6, 6, 0, 0, 0]
E     9  3        8     5.00        8    -0.751   [512, 296, 161, 102, 66, 40, 18, 10, 10, 0, 0, 0]
HC    9  3       11   244.00       11    -0.284   [512, 376, 312, 271, 228, 162, 133, 116, 98, 75, 66, 61]
RW   10  2        5     1.00        0    -1.327   [1024, 396, 177, 62, 26, 6, 0, 0, 0, 0, 0, 0, 0]
E    10  2        9     3.00        9    -0.941   [1024, 509, 249, 113, 61, 38, 21, 6, 6, 6, 0, 0, 0]
HC   10  2       12   308.00       12    -0.310   [1024, 781, 651, 511, 432, 306, 262, 207, 165, 135, 112, 101, 77]
RW   10  3        7     1.00        0    -1.131   [1024, 385, 159, 62, 22, 14, 12, 4, 0, 0, 0, 0, 0]
E    10  3        9     3.00        9    -0.886   [1024, 515, 254, 140, 81, 50, 33, 10, 6, 6, 0, 0, 0]
HC   10  3       12   308.00       12    -0.310   [1024, 781, 651, 511, 432, 306, 262, 207, 165, 135, 112, 101, 77]
RW   11  2        6     1.00        0    -1.537   [2048, 728, 285, 93, 36, 9, 4, 0, 0, 0, 0, 0, 0, 0]
E    11  2        9     1.50        9    -1.018   [2048, 977, 487, 243, 112, 73, 31, 11, 8, 6, 0, 0, 0, 0]
HC   11  2       13   508.00       13    -0.289   [2048, 1533, 1301, 999, 830, 653, 530, 453, 387, 318, 258, 217, 192, 127]
RW   11  3        7     1.00        0    -1.097   [2048, 805, 325, 157, 79, 32, 14, 12, 0, 0, 0, 0, 0, 0]
E    11  3        8     1.56        7    -0.926   [2048, 1071, 533, 306, 157, 79, 38, 25, 2, 0, 0, 0, 0, 0]
HC   11  3       13   508.00       13    -0.289   [2048, 1533, 1301, 999, 830, 653, 530, 453, 387, 318, 258, 217, 192, 127]
RW   12  2        9     1.00        0    -1.373   [4096, 1607, 752, 278, 119, 33, 14, 6, 2, 2, 0, 0, 0, 0, 0]
E    12  2        9     1.06        2    -1.072   [4096, 2087, 1090, 525, 258, 105, 60, 21, 6, 2, 0, 0, 0, 0, 0]
HC   12  2       14   724.00       14    -0.327   [4096, 3094, 2638, 2111, 1754, 1424, 1197, 956, 757, 594, 489, 320, 255, 200, 181]
RW   12  3        8     1.00        0    -1.333   [4096, 1487, 721, 226, 87, 44, 5, 1, 1, 0, 0, 0, 0, 0, 0]
E    12  3       11     3.00       11    -1.055   [4096, 2009, 1043, 515, 223, 142, 46, 12, 11, 10, 6, 6, 0, 0, 0]
HC   12  3       14   724.00       14    -0.327   [4096, 3094, 2638, 2111, 1754, 1424, 1197, 956, 757, 594, 489, 320, 255, 200, 181]
RW   13  2        7     1.00        0    -1.346   [8192, 3068, 1146, 489, 171, 81, 27, 12, 0, 0, 0, 0, 0, 0, 0, 0]
E    13  2       10     1.00        0    -1.070   [8192, 4020, 1870, 941, 456, 234, 93, 34, 14, 10, 8, 0, 0, 0, 0, 0]
HC   13  2       15  1332.00       15    -0.316   [8192, 6162, 5093, 4034, 3319, 2696, 2219, 1715, 1364, 1044, 827, 662, 560, 433, 382, 333]
RW   13  3        9     1.00        0    -1.419   [8192, 3094, 1266, 503, 176, 70, 20, 9, 3, 3, 0, 0, 0, 0, 0, 0]
E    13  3       10     1.02        1    -1.085   [8192, 4172, 1987, 963, 475, 207, 104, 60, 16, 4, 1, 0, 0, 0, 0, 0]
HC   13  3       15  1332.00       15    -0.316   [8192, 6162, 5093, 4034, 3319, 2696, 2219, 1715, 1364, 1044, 827, 662, 560, 433, 382, 333]
