 n c  rho_E(k*)     rho_HC(k*)    slope   C(l=1.0)  C(l=1.2)  C(l=1.306)  C(l=1.4)
 3 2    0.25 ( 1)     0.33 ( 1)      nan       1.00      1.00      1.00      1.00
 3 3    4.00 ( 4)     9.85 ( 4)      nan       4.00      6.96      9.34     12.13
 4 2    1.75 ( 2)     2.80 ( 2)      nan       1.75      2.31      2.67      3.05
 4 3    0.50 ( 2)     0.80 ( 2)      nan       1.00      1.00      1.00      1.00
 5 2    0.56 ( 1)     0.75 ( 1)      nan       1.00      1.00      1.00      1.00
 5 3    1.00 ( 4)     2.46 ( 4)      nan       1.00      1.74      2.34      3.03
 6 2    0.69 ( 1)     0.92 ( 1)      nan       1.00      1.00      1.00      1.00
 6 3    0.88 ( 1)     1.20 ( 2)   -1.208       1.00      1.01      1.15      1.31
 7 2    0.64 ( 1)     1.54 ( 4)   -1.276       1.00      1.09      1.46      1.89
 7 3    1.25 ( 4)     3.08 ( 4)   -0.941       1.25      2.18      2.92      3.79
 8 2    0.69 ( 2)     1.10 ( 2)   -1.547       1.00      1.00      1.05      1.20
 8 3    0.77 ( 2)     2.82 ( 6)   -1.272       1.00      1.72      2.68      3.96
 9 2    0.63 ( 1)     0.84 ( 1)   -1.624       1.00      1.00      1.00      1.00
 9 3    3.00 ( 8)    17.26 ( 8)   -1.097       3.00      9.09     16.37     27.57
10 2    0.77 ( 1)     1.11 ( 2)   -1.327       1.00      1.00      1.06      1.23
10 3    0.75 ( 1)     2.82 ( 6)   -1.131       1.00      1.72      2.68      3.96
11 2    0.71 ( 1)     0.95 ( 1)   -1.537       1.00      1.00      1.00      1.00
11 3    0.79 ( 1)     3.49 ( 7)   -1.097       1.00      1.98      3.31      5.22
12 2    0.78 ( 1)     1.78 ( 9)   -1.373       1.00      1.00      1.69      3.03
12 3    0.73 ( 1)     1.13 ( 2)   -1.333       1.00      1.00      1.08      1.38
13 2    0.75 ( 1)     1.00 ( 1)   -1.346       1.00      1.00      1.00      1.31
13 3    0.76 ( 1)     1.33 ( 9)   -1.419       1.00      1.00      1.26      2.27
14 2    0.75 ( 1)     2.20 (10)   -1.375       1.00      1.00      2.08      4.00
14 3    0.75 ( 1)     1.05 ( 2)   -1.378       1.00      1.00      1.00      1.36
15 2    0.74 ( 1)     1.11 ( 9)   -1.327       1.00      1.00      1.05      1.89
15 3    0.76 ( 1)     1.04 ( 6)   -1.440       1.00      1.00      1.00      1.46
16 2    0.75 ( 1)     1.21 ( 4)   -1.362       1.00      1.00      1.15      1.69
16 3    0.76 ( 1)     2.47 (10)   -1.224       1.00      1.12      2.35      4.50
17 2    0.76 ( 1)     1.70 (11)   -1.309       1.00      1.00      1.61      3.30
17 3    0.75 ( 1)     1.01 ( 2)   -1.388       1.00      1.00      1.00      1.28
