c=2: rows n-j for j=1..160, horizon 1200 columns
   j  period  transient  distinct-tails(4 first cells)  pattern(canonical)
    1      1         2    1   1
    2      2         2    1   23
    3      2         2    1   03
    4      4         3    1   0022
    5      4         2    1   1133
    6      4         3    1   0232
    7      4         5    1   0331
    8      4         9    1   0233
    9      4        12    1   0221
   10      4        14    1   1122
   11      4        15    1   1123
   12      4        16    1   0121
   13      4        17    1   1223
   14      4        18    1   0111
   15      8        19    1   22323323
   16      8        21    1   02103103
   17      8        24    1   00322013
   18      8        29    1   00021132
   19      8        30    1   03333123
   20      8        36    1   00202011
   21      8        37    1   13132333
   22      8        40    1   01010302
   23      8        42    1   00332233
   24      8        48    1   02110222
   25      8        49    1   11131233
   26      8        51    1   01102323
   27      8        52    1   00122103
   28      8        55    1   00011122
   29      8        56    1   11333232
   30      8        57    1   02030323
   31      8        57    1   00210033
   32      8        60    1   02221222
   33      8        62    1   11121113
   34      8        64    1   01231232
   35      8        65    1   01103321
   36      8        65    1   02122322
   37      8        66    1   03131211
   38      8        67    1   01011233
   39      8        70    1   02233231
   40      8        72    1   01311021
   41      8        75    1   01221223
   42      8        76    1   00111211
   43      8        83    1   12333232
   44      8        84    1   02030321
   45      8        83    1   00212213
   46      8        82    1   00032112
   47      8        84    1   03231333
   48      8        83    1   00210102
   49      8        84    1   12233133
   50      8        85    1   02302311
   51      8        87    1   00301221
   52      8        90    1   00111222
   53      8        95    1   11133232
   54      8        98    1   02103232
   55      8       100    1   03033122
   56      8       101    1   00201113
   57      8       102    1   00033232
   58      8       105    1   02103333
   59      8       106    1   02022122
   60      8       107    1   11211313
   61      8       106    1   01012123
   62      8       106    1   00132121
   63      8       107    1   03212223
   64      8       108    1   00212111
   65      8       107    1   12123222
   66      8       107    1   03112121
   67      8       109    1   01212122
   68      8       111    1   11321212
   69      8       112    1   03212123
   70      8       112    1   00212121
   71      8       113    1   12121222
   72      8       114    1   11121212
   73      8       113    1   12121232
   74      8       114    1   03212121
   75      8       115    1   03212122
   76      8       116    1   03212113
   77      8       117    1   00212123
   78      8       120    1   00032121
   79      8       121    1   03212222
   80      8       122    1   03211113
   81      8       122    1   00212323
   82      8       123    1   00032103
   83      8       122    1   00002122
   84      8       123    1   11333312
   85      8       125    1   02023123
   86      8       127    1   00331011
   87      8       129    1   02332333
   88      8       131    1   00302102
   89      8       133    1   00322133
   90      8       139    1   02220312
   91      8       140    1   01131113
   92      8       141    1   00120123
   93      8       143    1   00011321
   94      8       149    1   03222232
   95      8       152    1   03111033
   96      8       153    1   01233022
   97      8       154    1   02211321
   98      8       156    1   03221123
   99      8       157    1   00211231
  100      8       160    1   01331231
  101      8       161    1   01320231
  102      8       164    1   01320331
  103      8       168    1   02332033
  104      8       170    1   02130221
  105      8       173    1   00312212
  106      8       174    1   01112133
  107      8       176    1   02232312
  108      8       177    1   01131103
  109      8       176    1   00120122
  110      8       176    1   11332132
  111      8       175    1   02120323
  112      8       176    1   00321303
  113      8       177    1   00222032
  114      8       178    1   03331113
  115      8       177    1   00202323
  116      8       178    1   00033103
  117      8       178    1   00002013
  118      8       180    1   00000332
  119      8       179    1   02133333
  120      8       180    1   00320202
  121      8       180    1   03313133
  122      8       182    1   01022023
  123      8       184    1   00131131
  124      8       186    1   01201332
  125      8       187    1   02132132
  126      8       189    1   03203312
  127      8       191    1   02313033
  128      8       192    1   00200301
  129      8       195    1   00133133
  130      8       195    1   02223023
  131      8       197    1   00300311
  132      8       201    1   00023222
  133      8       205    1   03113331
  134      8       208    1   01202013
  135      8       209    1   00113132
  136      8       211    1   01033323
  137      8       216    1   00130203
  138      8       219    1   00010033
  139      8       227    1   02222333
  140      8       231    1   00311102
  141      8       232    1   01233133
  142      8       233    1   02231023
  143      8       235    1   00310131
  144      8       239    1   01320133
  145      8       241    1   02230332
  146      8       240    1   00203311
  147      8       239    1   02322213
  148      8       239    1   00303112
  149      8       239    1   00232133
  150      8       240    1   02221032
  151      8       241    1   03311122
  152      8       243    1   02323113
  153      8       244    1   00303012
  154      8       243    1   00223133
  155      8       242    1   01022211
  156      8       243    1   11123322
  157      8       242    1   02112321
  158      8       243    1   03221231
  159      8       244    1   01303121
  160      8       245    1   00231223
c=2: row-pattern sequence eventually periodic in j? None  (vertical period, first row index)
