rbf_kill.py args={'umax': 12, 'fut': 4, 'rand_n': [30, 40], 'samples': 200, 'seed': 1, 'letters_m': 10, 'letters_m4': 7, 'balance_brute': 11, 'balance_transfer': 80, 'gate_n': 8, 'skip': ['gate', 'X', 'R', 'L'], 'mutate': False}
  E m=1   transfer=2 expected=2 brute(kernel)=2
  E m=2   transfer=5 expected=5 brute(kernel)=5
  E m=3   transfer=14 expected=14 brute(kernel)=14
  E m=4   transfer=41 expected=41 brute(kernel)=41
  E m=5   transfer=122 expected=122 brute(kernel)=122
  E m=6   transfer=365 expected=365 brute(kernel)=365
  E m=7   transfer=1094 expected=1094 brute(kernel)=1094
  E m=8   transfer=3281 expected=3281 brute(kernel)=3281
  E m=9   transfer=9842 expected=9842 brute(kernel)=9842
  E m=10  transfer=29525 expected=29525 brute(kernel)=29525
  E m=11  transfer=88574 expected=88574 brute(kernel)=88574
  E m=12  transfer=265721 expected=265721
  E m=13  transfer=797162 expected=797162
  E m=14  transfer=2391485 expected=2391485
  E m=15  transfer=7174454 expected=7174454
  E m=16  transfer=21523361 expected=21523361
  E m=17  transfer=64570082 expected=64570082
  E m=18  transfer=193710245 expected=193710245
  E m=19  transfer=581130734 expected=581130734
  E m=20  transfer=1743392201 expected=1743392201
  E m=21  transfer=5230176602 expected=5230176602
  E m=22  transfer=15690529805 expected=15690529805
  E m=23  transfer=47071589414 expected=47071589414
  E m=24  transfer=141214768241 expected=141214768241
  E m=25  transfer=423644304722 expected=423644304722
  E m=26  transfer=1270932914165 expected=1270932914165
  E m=27  transfer=3812798742494 expected=3812798742494
  E m=28  transfer=11438396227481 expected=11438396227481
  E m=29  transfer=34315188682442 expected=34315188682442
  E m=30  transfer=102945566047325 expected=102945566047325
  E m=31  transfer=308836698141974 expected=308836698141974
  E m=32  transfer=926510094425921 expected=926510094425921
  E m=33  transfer=2779530283277762 expected=2779530283277762
  E m=34  transfer=8338590849833285 expected=8338590849833285
  E m=35  transfer=25015772549499854 expected=25015772549499854
  E m=36  transfer=75047317648499561 expected=75047317648499561
  E m=37  transfer=225141952945498682 expected=225141952945498682
  E m=38  transfer=675425858836496045 expected=675425858836496045
  E m=39  transfer=2026277576509488134 expected=2026277576509488134
  E m=40  transfer=6078832729528464401 expected=6078832729528464401
  E m=41  transfer=18236498188585393202 expected=18236498188585393202
  E m=42  transfer=54709494565756179605 expected=54709494565756179605
  E m=43  transfer=164128483697268538814 expected=164128483697268538814
  E m=44  transfer=492385451091805616441 expected=492385451091805616441
  E m=45  transfer=1477156353275416849322 expected=1477156353275416849322
  E m=46  transfer=4431469059826250547965 expected=4431469059826250547965
  E m=47  transfer=13294407179478751643894 expected=13294407179478751643894
  E m=48  transfer=39883221538436254931681 expected=39883221538436254931681
  E m=49  transfer=119649664615308764795042 expected=119649664615308764795042
  E m=50  transfer=358948993845926294385125 expected=358948993845926294385125
  E m=51  transfer=1076846981537778883155374 expected=1076846981537778883155374
  E m=52  transfer=3230540944613336649466121 expected=3230540944613336649466121
  E m=53  transfer=9691622833840009948398362 expected=9691622833840009948398362
  E m=54  transfer=29074868501520029845195085 expected=29074868501520029845195085
  E m=55  transfer=87224605504560089535585254 expected=87224605504560089535585254
  E m=56  transfer=261673816513680268606755761 expected=261673816513680268606755761
  E m=57  transfer=785021449541040805820267282 expected=785021449541040805820267282
  E m=58  transfer=2355064348623122417460801845 expected=2355064348623122417460801845
  E m=59  transfer=7065193045869367252382405534 expected=7065193045869367252382405534
  E m=60  transfer=21195579137608101757147216601 expected=21195579137608101757147216601
  E m=61  transfer=63586737412824305271441649802 expected=63586737412824305271441649802
  E m=62  transfer=190760212238472915814324949405 expected=190760212238472915814324949405
  E m=63  transfer=572280636715418747442974848214 expected=572280636715418747442974848214
  E m=64  transfer=1716841910146256242328924544641 expected=1716841910146256242328924544641
  E m=65  transfer=5150525730438768726986773633922 expected=5150525730438768726986773633922
  E m=66  transfer=15451577191316306180960320901765 expected=15451577191316306180960320901765
  E m=67  transfer=46354731573948918542880962705294 expected=46354731573948918542880962705294
  E m=68  transfer=139064194721846755628642888115881 expected=139064194721846755628642888115881
  E m=69  transfer=417192584165540266885928664347642 expected=417192584165540266885928664347642
  E m=70  transfer=1251577752496620800657785993042925 expected=1251577752496620800657785993042925
  E m=71  transfer=3754733257489862401973357979128774 expected=3754733257489862401973357979128774
  E m=72  transfer=11264199772469587205920073937386321 expected=11264199772469587205920073937386321
  E m=73  transfer=33792599317408761617760221812158962 expected=33792599317408761617760221812158962
  E m=74  transfer=101377797952226284853280665436476885 expected=101377797952226284853280665436476885
  E m=75  transfer=304133393856678854559841996309430654 expected=304133393856678854559841996309430654
  E m=76  transfer=912400181570036563679525988928291961 expected=912400181570036563679525988928291961
  E m=77  transfer=2737200544710109691038577966784875882 expected=2737200544710109691038577966784875882
  E m=78  transfer=8211601634130329073115733900354627645 expected=8211601634130329073115733900354627645
  E m=79  transfer=24634804902390987219347201701063882934 expected=24634804902390987219347201701063882934
  E m=80  transfer=73904414707172961658041605103191648801 expected=73904414707172961658041605103191648801
E balance: #Phi=0 on {0,2,x}^m equals (3^m+1)/2 for m <= 80 (transfer), brute force through the kernel rule for m <= 11 PASS
ALL PASS   [0s]
