 n  c   max_k M_k/2^(n-k) (at k)     max_k N_k/2^(n-k) (at k)    M_k list
 1  2    1.000 (k=0)             1.000 (k=0)           [2]   [0.0s]
 1  3    1.000 (k=0)             1.000 (k=0)           [2, 1]   [0.0s]
 2  2    1.000 (k=0)             1.000 (k=0)           [4, 1]   [0.0s]
 2  3    1.000 (k=0)             1.000 (k=0)           [4, 2]   [0.0s]
 3  2    0.875 (k=0)             1.000 (k=0)           [7, 1]   [0.0s]
 3  3    2.000 (k=4)             4.000 (k=4)           [7, 4, 1, 1, 1]   [0.0s]
 4  2    0.750 (k=0)             1.750 (k=2)           [12, 4, 3]   [0.0s]
 4  3    0.750 (k=0)             1.000 (k=0)           [12, 3, 2]   [0.0s]
 5  2    0.625 (k=0)             1.000 (k=0)           [20, 5, 1]   [0.0s]
 5  3    0.625 (k=0)             1.000 (k=0)           [20, 7, 3, 1, 1]   [0.0s]
 6  2    0.578 (k=0)             1.000 (k=0)           [37, 12, 4, 1]   [0.0s]
 6  3    0.578 (k=0)             1.000 (k=0)           [37, 15, 7, 3]   [0.0s]
 7  2    0.539 (k=0)             1.000 (k=0)           [69, 20, 8, 4, 2]   [0.0s]
 7  3    0.539 (k=0)             1.250 (k=4)           [69, 24, 8, 5, 3]   [0.0s]
 8  2    0.480 (k=0)             1.000 (k=0)           [123, 35, 14, 2]   [0.0s]
 8  3    0.480 (k=0)             1.000 (k=0)           [123, 44, 20, 7, 4, 2, 1]   [0.0s]
 9  2    0.428 (k=0)             1.000 (k=0)           [219, 60, 24, 7, 2]   [0.0s]
 9  3    0.500 (k=8)             3.000 (k=8)           [219, 84, 39, 16, 6, 1, 1, 1, 1]   [0.0s]
10  2    0.382 (k=0)             1.000 (k=0)           [391, 135, 56, 20, 7, 2]   [0.0s]
10  3    0.382 (k=0)             1.000 (k=0)           [391, 142, 57, 24, 8, 5, 4, 1]   [0.0s]
11  2    0.342 (k=0)             1.000 (k=0)           [701, 223, 85, 29, 10, 3, 1]   [0.0s]
11  3    0.342 (k=0)             1.000 (k=0)           [701, 248, 101, 45, 22, 10, 5, 4]   [0.1s]
12  2    0.307 (k=0)             1.000 (k=0)           [1257, 436, 186, 72, 29, 12, 5, 2, 1, 1]   [0.2s]
12  3    0.307 (k=0)             1.000 (k=0)           [1257, 420, 198, 73, 28, 13, 2, 1, 1]   [0.2s]
13  2    0.275 (k=0)             1.000 (k=0)           [2255, 745, 299, 128, 45, 23, 8, 2]   [0.5s]
13  3    0.275 (k=0)             1.000 (k=0)           [2255, 765, 316, 123, 49, 20, 7, 3, 1, 1]   [0.5s]
14  2    0.245 (k=0)             1.000 (k=0)           [4009, 1290, 547, 219, 84, 28, 13, 4, 2, 1, 1]   [1.0s]
14  3    0.245 (k=0)             1.000 (k=0)           [4009, 1362, 585, 230, 86, 30, 11, 7, 3]   [1.1s]
15  2    0.217 (k=0)             1.000 (k=0)           [7115, 2306, 915, 324, 134, 47, 22, 13, 4, 3]   [1.8s]
15  3    0.217 (k=0)             1.000 (k=0)           [7115, 2427, 987, 382, 157, 67, 28, 9, 3]   [1.8s]
16  2    0.193 (k=0)             1.000 (k=0)           [12647, 4148, 1706, 682, 299, 122, 43, 20, 6, 3, 1]   [3.3s]
16  3    0.193 (k=0)             1.000 (k=0)           [12647, 4296, 1776, 688, 291, 115, 49, 19, 8, 5, 2]   [3.7s]
17  2    0.171 (k=0)             1.000 (k=0)           [22437, 7322, 3039, 1212, 498, 201, 95, 40, 14, 7, 2, 1]   [9.7s]
17  3    0.171 (k=0)             1.000 (k=0)           [22437, 7510, 3078, 1211, 475, 185, 75, 27, 10, 4, 1]   [8.7s]
