tail 01
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     1      1              1      -  0.000  0
   1     0     -1              2   2.00  1.000  0
   2     7      5              3   1.50  0.792  0
   3     6      3              4   1.33  0.667  0
   4     5      1              6   1.50  0.646  0
   5     6      1              8   1.33  0.600  0
   6     9      3             12   1.50  0.597  0
   7    10      3             16   1.33  0.571  0
   8    12      4             24   1.50  0.573  0
   9    17      8             32   1.33  0.556  1
  10    18      8             48   1.50  0.558  1
  11    17      6             64   1.33  0.545  0
  12    30     18             96   1.50  0.549  2
  13    29     16            128   1.33  0.538  6
  14    28     14            192   1.50  0.542  5
  15    32     17            256   1.33  0.533  7
  16    31     15            384   1.50  0.537  10
  17    30     13            512   1.33  0.529  18
  18    31     13            768   1.50  0.532  29
  19    33     14           1024   1.33  0.526  26
  20    38     18           1536   1.50  0.529  48
  21    37     16           2048   1.33  0.524  69
  22    36     14           3072   1.50  0.527  69
  23    41     18           4096   1.33  0.522  119
  24    43     19           6144   1.50  0.524  148
  25    42     17           8192   1.33  0.520  275
  26    44     18          12288   1.50  0.522  271
  27    44     17          16384   1.33  0.519  363
tail 1
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     0      0              0      -  0.000  0
   1     1      0              1      -  0.000  0
   2     0     -2              1   1.00  0.000  0
   3     3      0              1   1.00  0.000  0
   4     2     -2              1   1.00  0.000  0
   5     5      0              1   1.00  0.000  0
   6     4     -2              1   1.00  0.000  0
   7     7      0              1   1.00  0.000  0
   8     6     -2              1   1.00  0.000  0
   9     9      0              1   1.00  0.000  0
  10     8     -2              1   1.00  0.000  0
  11    11      0              1   1.00  0.000  0
  12    10     -2              1   1.00  0.000  0
  13    13      0              1   1.00  0.000  0
  14    12     -2              1   1.00  0.000  0
  15    15      0              1   1.00  0.000  0
  16    14     -2              1   1.00  0.000  0
  17    17      0              1   1.00  0.000  0
  18    16     -2              1   1.00  0.000  0
  19    19      0              1   1.00  0.000  0
  20    18     -2              1   1.00  0.000  0
  21    21      0              1   1.00  0.000  0
  22    20     -2              1   1.00  0.000  0
  23    23      0              1   1.00  0.000  0
  24    22     -2              1   1.00  0.000  0
  25    25      0              1   1.00  0.000  0
  26    24     -2              1   1.00  0.000  0
  27    27      0              1   1.00  0.000  0
