tail 01
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     1      1              1      -  0.000  0
   1     0     -1              2   2.00  1.000  0
   2     7      5              3   1.50  0.792  0
   3     6      3              4   1.33  0.667  0
   4     5      1              6   1.50  0.646  0
   5     6      1              8   1.33  0.600  0
   6     9      3             12   1.50  0.597  0
   7    10      3             16   1.33  0.571  0
   8    12      4             24   1.50  0.573  0
   9    17      8             32   1.33  0.556  1
  10    18      8             48   1.50  0.558  1
  11    17      6             64   1.33  0.545  0
  12    30     18             96   1.50  0.549  2
  13    29     16            128   1.33  0.538  6
  14    28     14            192   1.50  0.542  5
  15    32     17            256   1.33  0.533  7
  16    31     15            384   1.50  0.537  10
  17    30     13            512   1.33  0.529  18
  18    31     13            768   1.50  0.532  29
  19    33     14           1024   1.33  0.526  26
  20    38     18           1536   1.50  0.529  48
  21    37     16           2048   1.33  0.524  69
  22    36     14           3072   1.50  0.527  69
  23    41     18           4096   1.33  0.522  119
  24    43     19           6144   1.50  0.524  148
tail 001
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     2      2              2      -  1.000  0
   1     0     -1              3   1.50  1.585  0
   2     7      5              5   1.67  1.161  0
   3    10      7              8   1.60  1.000  0
   4    15     11             12   1.50  0.896  1
   5    14      9             20   1.67  0.864  2
   6    14      8             32   1.60  0.833  1
   7    13      6             48   1.50  0.798  0
   8    14      6             80   1.67  0.790  0
   9    24     15            128   1.60  0.778  3
  10    23     13            192   1.50  0.758  15
  11    29     18            320   1.67  0.757  23
  12    28     16            512   1.60  0.750  33
  13    29     16            768   1.50  0.737  60
  14    41     27           1280   1.67  0.737  65
  15    40     25           2048   1.60  0.733  121
  16    39     23           3072   1.50  0.724  176
  17    41     24           5120   1.67  0.725  280
  18    41     23           8192   1.60  0.722  570
  19    56     37          12288   1.50  0.715  780
  20    56     36          20480   1.67  0.716  1285
  21    55     34          32768   1.60  0.714  1902
  22    54     32          49152   1.50  0.708  3153
  23    87     64          81920   1.67  0.710  5148
  24    86     62         131072   1.60  0.708  8090
tail 011
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     5      5              1      -  0.000  0
   1     4      3              3   3.00  1.585  0
   2     3      1              4   1.33  1.000  0
   3     2     -1              5   1.25  0.774  0
   4     7      3              6   1.20  0.646  0
   5     8      3              8   1.33  0.600  0
   6     8      2             10   1.25  0.554  0
   7    11      4             12   1.20  0.512  0
   8    11      3             16   1.33  0.500  0
   9    16      7             20   1.25  0.480  0
  10    15      5             24   1.20  0.458  0
  11    14      3             32   1.33  0.455  0
