tail 000111
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     4      4              3      -  1.585  0
   1     5      4              6   2.00  2.585  0
   2     9      7              9   1.50  1.585  0
   3     8      5             14   1.56  1.269  0
   4    10      6             21   1.50  1.098  0
   5    16     11             28   1.33  0.961  1
   6    15      9             36   1.29  0.862  2
   7    14      7             48   1.33  0.798  0
   8    13      5             72   1.50  0.771  0
   9    17      8            112   1.56  0.756  2
  10    23     13            168   1.50  0.739  2
  11    22     11            224   1.33  0.710  5
  12    28     16            288   1.29  0.681  7
  13    27     14            384   1.33  0.660  14
  14    35     21            576   1.50  0.655  13
  15    34     19            896   1.56  0.654  24
  16    33     17           1344   1.50  0.650  15
  17    32     15           1792   1.33  0.636  36
  18    36     18           2304   1.29  0.621  91
tail 00001
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     4      4              4      -  2.000  0
   1     0     -1              5   1.25  2.322  0
   2    19     17              9   1.80  1.585  3
   3    18     15             16   1.78  1.333  3
   4    17     13             28   1.75  1.202  3
   5    16     11             48   1.71  1.117  3
   6    40     34             80   1.67  1.054  7
   7    39     32            144   1.80  1.024  15
   8    38     30            256   1.78  1.000  28
   9    37     28            448   1.75  0.979  79
  10    44     34            768   1.71  0.958  152
  11    43     32           1280   1.67  0.938  190
  12    46     34           2304   1.80  0.931  337
  13    53     40           4096   1.78  0.923  550
  14    60     46           7168   1.75  0.915  1002
  15    59     44          12288   1.71  0.906  1821
  16    62     46          20480   1.67  0.895  2813
  17    63     46          36864   1.80  0.892  5122
  18    83     65          65536   1.78  0.889  9269
tail 0011
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     6      6              2      -  1.000  0
   1     4      3              4   2.00  2.000  0
   2     3      1              6   1.50  1.292  0
   3    11      8              9   1.50  1.057  1
   4    10      6             12   1.33  0.896  0
   5    14      9             16   1.33  0.800  1
   6    13      7             24   1.50  0.764  0
   7    13      6             36   1.50  0.739  0
   8    12      4             48   1.33  0.698  0
   9    12      3             64   1.33  0.667  0
  10    15      5             96   1.50  0.658  0
  11    23     12            144   1.50  0.652  8
  12    27     15            192   1.33  0.632  8
  13    28     15            256   1.33  0.615  13
  14    27     13            384   1.50  0.613  15
  15    26     11            576   1.50  0.611  12
  16    32     16            768   1.33  0.599  16
  17    33     16           1024   1.33  0.588  32
  18    33     15           1536   1.50  0.588  39
tail 00011
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     8      8              3      -  1.585  1
   1     5      4              5   1.67  2.322  0
   2     4      2              8   1.60  1.500  0
   3    12      9             13   1.62  1.233  1
   4    11      7             20   1.54  1.080  0
   5    12      7             28   1.40  0.961  0
   6    17     11             40   1.43  0.887  1
   7    24     17             64   1.60  0.857  3
   8    23     15            104   1.62  0.838  6
   9    22     13            160   1.54  0.814  5
  10    28     18            224   1.40  0.781  14
  11    27     16            320   1.43  0.757  18
  12    28     16            512   1.60  0.750  26
  13    29     16            832   1.62  0.746  36
  14    32     18           1280   1.54  0.737  38
  15    33     18           1792   1.40  0.720  87
  16    46     30           2560   1.43  0.708  100
  17    45     28           4096   1.60  0.706  168
  18    45     27           6656   1.62  0.706  257
tail 1
  W  maxS  excess=maxS-W  alive  alive_ratio  log2(alive)/W  band rows with S>=W+8
   0     0      0              0      -  0.000  0
   1     1      0              1      -  0.000  0
   2     0     -2              1   1.00  0.000  0
   3     3      0              1   1.00  0.000  0
   4     2     -2              1   1.00  0.000  0
   5     5      0              1   1.00  0.000  0
   6     4     -2              1   1.00  0.000  0
   7     7      0              1   1.00  0.000  0
   8     6     -2              1   1.00  0.000  0
   9     9      0              1   1.00  0.000  0
  10     8     -2              1   1.00  0.000  0
  11    11      0              1   1.00  0.000  0
  12    10     -2              1   1.00  0.000  0
  13    13      0              1   1.00  0.000  0
  14    12     -2              1   1.00  0.000  0
  15    15      0              1   1.00  0.000  0
  16    14     -2              1   1.00  0.000  0
  17    17      0              1   1.00  0.000  0
  18    16     -2              1   1.00  0.000  0
