rule 30, trace (01)^inf, empty right half:
   D   support radius w   true horizon H   H - w
   4                  1                6       5
   8                  7                8       1
  16                 16               17       1
  32                 31               32       1
  64                 64               65       1
 128                127              130       3
 200                199              200       1
 300                300              302       2

rule 90 control (same construction, same trace):
   D   support radius w   true horizon H   H - w
   4                  1                4       3
   8                  7               10       3
  16                 13               16       3
  32                 31               34       3
  64                 61               64       3
 128                127              130       3
 200                199              202       3
 300                299              300       1
