suffix S=211212112 (|S|=9); free prefix of length n-|S|; both c; need = n+2
 n   c  free  deepest  need  slack  N_k (k=0..)   12a-exact(n+2,v=0)  sample
15  2  6     5        17    12     64,18,8,6,6,6                            0                   ['112122211212112', '212122211212112']  [0.0s]
15  3  6     4        17    13     64,46,34,28,18                           0                   ['111212211212112', '211212211212112']  [0.0s]
16  2  7     5        18    13     128,77,50,23,19,19                       0                   ['1112111211212112', '2112111211212112']  [0.0s]
16  3  7     7        18    11     128,51,5,4,4,4,4,4                       0                   ['1121111211212112', '2121111211212112']  [0.0s]
17  2  8     4        19    15     256,172,44,17,6                          0                   ['11111221211212112', '21111221211212112']  [0.0s]
17  3  8     4        19    15     256,84,42,24,8                           0                   ['11211221211212112', '21211221211212112']  [0.0s]
18  2  9     7        20    13     512,248,128,71,34,34,30,30               0                   ['121221222211212112', '221221222211212112']  [0.0s]
18  3  9     6        20    14     512,264,164,46,16,8,8                    0                   ['112111211211212112', '212111211211212112']  [0.0s]
19  2  10    5        21    16     1024,611,176,72,8,4                      0                   ['1121122122211212112', '2121122122211212112']  [0.0s]
19  3  10    5        21    16     1024,413,174,75,53,14                    0                   ['1212122212211212112', '2212122212211212112']  [0.0s]
20  2  11    6        22    16     2048,1012,374,166,58,12,8                0                   ['11121111111211212112', '21121111111211212112']  [0.0s]
20  3  11    4        22    18     2048,1036,426,68,4                       0                   ['11212111222211212112', '21212111222211212112']  [0.0s]
21  2  12    6        23    17     4096,2197,841,237,91,50,10               0                   ['112212211111211212112', '212212211111211212112']  [0.0s]
21  3  12    9        23    14     4096,1899,712,242,72,43,16,14,10,10      0                   ['111111112121211212112', '211111112121211212112']  [0.0s]
22  2  13    6        24    18     8192,3799,1265,528,290,148,10            0                   ['1111122112121211212112', '2111122112121211212112']  [0.0s]
22  3  13    8        24    16     8192,4393,1745,569,205,86,28,12,12       0                   ['1111111112121211212112', '2111111112121211212112']  [0.0s]
23  2  14    7        25    18     16384,8051,2892,1180,514,192,74,6        0                   ['11112121222112211212112', '21112121222112211212112']  [0.0s]
23  3  14    7        25    18     16384,8333,2798,1109,285,138,41,19       0                   ['11211121111221211212112', '21211121111221211212112']  [0.0s]
24  2  15    7        26    19     32768,14917,5727,2294,770,256,70,27      0                   ['111111121221121211212112', '211111121221121211212112']  [0.0s]
24  3  15    8        26    18     32768,17851,6281,2771,1128,352,136,8,8   0                   ['111111212112121211212112', '211111212112121211212112']  [0.0s]
25  2  16    10       27    17     65536,31720,11845,4545,1589,792,300,92,46,16,16 0                   ['1111111222211222211212112', '2111111222211222211212112']  [0.0s]
25  3  16    9        27    18     65536,33816,12383,4974,2192,924,240,53,46,8 0                   ['1112212221221111211212112', '2112212221221111211212112']  [0.0s]
26  2  17    8        28    20     131072,66474,24881,10281,4630,1667,712,324,24 0                   ['11122112121111212211212112', '21122112121111212211212112']  [0.0s]
26  3  17    12       28    16     131072,64598,26459,10501,4265,1704,690,286,154,28,4,4,4 0                   ['11221121222212121211212112', '21221121222212121211212112']  [0.0s]
27  2  18    11       29    18     262144,131074,48380,19661,9064,4005,1346,490,252,114,24,24 0                   ['111112211221211112211212112', '211112211221211112211212112']  [0.0s]
27  3  18    10       29    19     262144,131070,49779,19054,7858,3731,1289,622,365,142,79 0                   ['112121211121212112211212112', '212121211121212112211212112']  [0.0s]
28  2  19    10       30    20     524288,257922,92376,39054,16374,6375,2981,840,189,57,32 0                   ['1111122121112211221211212112', '2111122121112211221211212112']  [0.1s]
28  3  19    12       30    18     524288,266366,101641,43970,19771,7845,3226,1202,226,130,88,88,88 0                   ['1111221211121212221211212112', '2111221211121212221211212112']  [0.1s]
29  2  20    10       31    21     1048576,524228,197563,81173,33759,13535,6629,1964,711,235,67 0                   ['11112121212121111111211212112', '21112121212121111111211212112']  [0.2s]
29  3  20    13       31    18     1048576,524348,200911,84819,33377,13660,5431,2736,880,382,268,44,28,4 0                   ['11212112121211211211211212112', '21212112121211211211211212112']  [0.2s]
30  2  21    13       32    19     2097152,1049725,395702,168152,69396,28598,12320,4657,1116,654,404,100,64,40 0                   ['112111211112122111122211212112', '212111211112122111122211212112']  [0.4s]
30  3  21    12       32    20     2097152,1047427,392160,162653,64925,23996,9170,3587,1574,310,166,50,18 0                   ['111211221111112111221211212112', '211211221111112111221211212112']  [0.3s]
31  2  22    13       33    20     4194304,2113416,790869,330951,130391,52101,19113,7397,2735,1036,366,94,62,40 0                   ['1112111121212212112111211212112', '2112111121212212112111211212112']  [0.9s]
31  3  22    16       33    17     4194304,2080888,769366,321087,128628,53143,19916,8238,3257,1388,488,268,178,134,34,34,34 0                   ['1111111221212122112111211212112', '2111111221212122112111211212112']  [0.9s]
minimum slack in the cylinder: 11 at n=16 c=3 (deepest 7)
