n  c  N_1^E - 2^(n-1)   N_k^E / 2^(n-k) for k=1..   (deepest E-only level, count)
6  2  0                 1.00 0.94 1.12 2.00 1.50 3.00 6.00 12.00 24.00   (9, 3)
6  3  0                 1.00 1.06 1.25 0.50 0.50 1.00   (6, 1)
7  2  -10               0.84 0.81 1.12 1.38 2.00 3.00 3.00   (7, 3)
7  3  10                1.16 0.81 1.12 1.50 0.50 1.00   (6, 2)
8  2  -4                0.97 1.06 0.75 1.19 1.75 2.50   (6, 10)
8  3  4                 1.03 1.09 0.78 0.81 1.50 1.25 2.50   (7, 5)
9  2  -40               0.84 0.83 0.61 0.41 0.12   (5, 2)
9  3  40                1.16 1.26 1.59 2.06 2.50 2.25 2.50 5.00   (8, 10)
10 2  -3                0.99 0.97 0.88 0.95 1.19 1.31 0.75 1.50 3.00   (9, 6)
10 3  3                 1.01 0.99 1.09 1.27 1.56 2.06 1.25 1.50 3.00   (9, 6)
11 2  -47               0.95 0.95 0.95 0.88 1.14 0.97 0.69 1.00 1.50   (9, 6)
11 3  47                1.05 1.04 1.20 1.23 1.23 1.19 1.56 0.25   (8, 2)
12 2  39                1.02 1.06 1.03 1.01 0.82 0.94 0.66 0.38 0.25   (9, 2)
12 3  -39               0.98 1.02 1.01 0.87 1.11 0.72 0.38 0.69 1.25 1.50 3.00   (11, 6)
13 2  -76               0.98 0.91 0.92 0.89 0.91 0.73 0.53 0.44 0.62 1.00   (10, 8)
13 3  76                1.02 0.97 0.94 0.93 0.81 0.81 0.94 0.50 0.25 0.12   (10, 1)
14 2  1                 1.00 1.04 1.02 0.91 0.86 0.90 0.95 0.83 0.44 0.25 0.50   (11, 4)
14 3  -1                1.00 1.01 0.97 0.93 0.82 0.69 0.67 0.70 0.25 0.12 0.25   (11, 2)
15 2  1                 1.00 0.96 0.89 0.95 0.98 0.83 0.77 0.84 0.91 0.38 0.75   (11, 12)
15 3  -1                1.00 0.99 0.99 1.00 1.03 1.13 1.06 0.94 0.97 0.84 1.25 2.25 4.50 9.00 18.00 36.00   (16, 18)
16 2  -178              0.99 1.03 1.07 1.11 1.01 0.97 1.17 1.08 1.42 1.09 0.94 0.75 1.00 2.00   (14, 8)
16 3  178               1.01 1.02 0.99 1.02 1.00 1.09 1.19 1.19 1.42 1.48 0.81 1.62 3.00 3.00   (14, 12)
17 2  515               1.01 1.01 0.99 1.00 1.07 1.08 1.10 0.94 1.07 1.29 1.44 1.16 0.44   (13, 7)
17 3  -515              0.99 0.99 0.99 0.95 0.97 0.94 1.00 1.11 1.08 1.17 1.27 1.06 0.12   (13, 2)
18 2  -888              0.99 1.00 1.00 0.98 0.99 0.97 1.16 1.31 1.25 1.57 1.30 1.41 1.94 3.50 4.00 4.00 8.00   (17, 16)
18 3  888               1.01 1.01 1.04 1.05 1.04 1.09 1.09 1.12 1.34 1.31 1.15 0.75 0.44 0.88 1.25 1.75 1.50 3.00   (18, 3)
19 2  -376              1.00 1.00 0.99 0.99 1.02 1.04 1.00 1.07 1.17 1.20 1.17 0.98 1.22 1.38 2.75 2.75 1.50 3.00   (18, 6)
19 3  376               1.00 1.00 1.01 1.00 1.02 1.06 1.08 1.05 0.83 0.85 0.78 1.20 1.25 1.38 0.62 1.25   (16, 10)
20 2  -2141             1.00 1.00 1.00 1.00 0.98 1.01 1.02 1.00 0.88 0.79 0.70 0.79 0.86 0.59 0.81 0.50   (16, 8)
20 3  2141              1.00 1.00 1.01 1.03 1.04 1.00 1.04 1.08 1.11 1.24 1.29 1.51 1.59 1.61 1.22 1.12 1.50   (17, 12)
21 2  -759              1.00 1.00 1.00 1.00 1.01 0.98 0.95 0.99 0.95 1.08 1.28 1.49 0.95 0.53 0.09 0.06   (16, 2)
21 3  759               1.00 1.00 1.01 1.00 1.01 1.03 1.03 1.09 1.03 1.06 0.92 0.94 0.88 1.05 1.84 1.06 0.50 0.50 1.00 2.00 4.00   (21, 4)
22 2  -8581             1.00 1.00 1.01 1.00 1.00 0.99 1.00 1.01 1.03 1.09 1.04 0.94 0.63 0.78 0.67 0.75 0.94 1.00   (18, 16)
22 3  8581              1.00 1.00 1.00 1.01 1.01 1.03 1.03 1.04 1.02 1.11 1.12 0.96 1.05 0.95 0.86 0.64 0.69 0.38 0.75   (19, 6)
23 2  -3912             1.00 1.00 0.99 0.99 0.99 0.98 0.99 1.01 1.08 0.94 0.87 0.76 0.80 0.83 1.00 1.30 0.66 1.31 1.62   (19, 26)
23 3  3912              1.00 1.00 1.00 1.00 1.00 0.99 1.00 1.00 1.02 0.97 0.94 1.02 1.22 1.13 0.86 0.73 0.62   (17, 40)
24 2  -16384            1.00 1.00 1.00 1.01 1.01 1.01 1.03 1.01 0.99 0.92 0.92 0.88 0.95 0.96 1.12 1.38 2.36 0.91 0.38 0.75 1.50   (21, 12)
24 3  16384             1.00 1.00 1.01 1.00 1.00 0.99 1.00 1.00 0.98 0.99 1.05 1.07 0.93 0.81 0.83 0.66 0.33 0.34 0.31 0.62 1.25 2.50 5.00   (23, 10)
