n  c  N_1^E - 2^(n-1)   N_k^E / 2^(n-k) for k=1..   (deepest E-only level, count)
25 2  -6234             1.00 1.00 1.00 1.00 1.01 1.00 1.01 1.01 1.01 0.97 0.95 0.93 0.98 1.11 1.37 1.57 1.04 1.34 1.19 1.88   (20, 60)
25 3  6234              1.00 1.00 1.00 1.00 1.00 1.01 1.01 1.01 1.01 1.02 0.95 0.95 0.96 0.91 1.14 1.41 2.18 2.66 1.00 2.00 4.00   (21, 64)
26 2  -23782            1.00 1.00 1.00 1.00 1.01 1.00 0.99 0.98 0.98 0.96 0.92 0.99 1.11 1.25 1.10 1.55 1.13 1.00 0.70 1.03 0.12   (21, 4)
26 3  23782             1.00 1.00 1.00 1.01 1.01 1.01 1.02 1.02 1.00 0.98 0.98 0.94 1.00 1.03 1.19 1.24 1.11 1.41 2.76 2.02 0.75   (21, 24)
27 2  -24055            1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.01 1.08 1.11 1.10 1.06 0.99 0.77 0.85 0.43 0.48 0.38 0.38   (22, 12)
27 3  24055             1.00 1.00 1.00 1.00 1.00 1.01 1.00 0.99 1.01 1.02 1.02 1.08 1.11 1.09 1.14 1.13 1.55 1.32 1.20 1.30 1.22 1.56   (22, 50)
28 2  -40564            1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.01 1.03 1.04 1.06 1.03 1.13 1.04 1.05 0.84 0.89 0.98 1.36 0.90 0.45   (22, 29)
28 3  40564             1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 1.01 1.01 0.98 1.14 1.13 1.10 0.93 1.02 1.15 0.50 1.00 2.00 3.00 6.00   (25, 48)
29 2  32493             1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.01 1.03 1.03 1.04 1.01 1.05 1.07 1.03 1.07 1.10 0.92 0.83 0.84 0.59 1.06 0.12 0.25 0.50 1.00   (27, 4)
29 3  -32493            1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.98 1.01 0.99 1.00 1.04 1.11 1.18 1.34 0.96 1.16 1.30 0.92 1.62 1.50   (24, 48)
