n  c  E-deepest  need  states  min #11 in Q[:k] (junction incl.)  example W -> Q (E-only run k)
12 2  9          14    1       0                                 111122211121 -> 21222222222221  11 at []
12 3  11         14    1       1                                 121222211221 -> 12222122121222  11 at [0]
13 2  10         15    3       3                                 1121212212221 -> 211221121111211  11 at [2, 6, 9]
13 3  10         15    1       1                                 1122112122121 -> 122222221211211  11 at [0]
14 2  11         16    1       1                                 11121222211121 -> 2122221221122221  11 at [10]
14 3  11         16    1       6                                 12111122112211 -> 1211122111121122  11 at [0, 3, 4, 8, 9, 10]
15 2  11         17    4       3                                 121211121112112 -> 21111222122111112  11 at [2, 3, 4]
15 3  16         17    1       7                                 111212211212112 -> 12211111122111211  11 at [4, 5, 6, 7, 8, 12, 13]
16 2  14         18    2       2                                 1111111112121111 -> 212222221112221112  11 at [9, 10]
16 3  14         18    1       7                                 1121221121211212 -> 211111122111211122  11 at [2, 3, 4, 5, 6, 10, 11]
17 2  13         19    3       2                                 11112211111211121 -> 2122212111222122112  11 at [8, 9]
17 3  13         19    1       3                                 11112212221211211 -> 1222112121121222121  11 at [0, 5, 10]
18 2  17         20    1       4                                 111122121111112122 -> 11112212122112122211  11 at [1, 2, 3, 12]
18 3  18         20    1       3                                 212211212112122122 -> 22111222222121221112  11 at [3, 4, 17]
19 2  18         21    1       4                                 1121221112221211221 -> 212111112212222121221  11 at [4, 5, 6, 7]
19 3  16         21    2       3                                 1121121211212212222 -> 111222222121221112221  11 at [1, 2, 15]
20 2  16         22    1       4                                 11122111222121122121 -> 2111112212222121221122  11 at [2, 3, 4, 5]
20 3  17         22    2       8                                 11111112222122221121 -> 1111111221212112222211  11 at [0, 1, 2, 3, 4, 5, 6, 14]
21 2  16         23    1       6                                 111211212111212222212 -> 21121121122211112121212  11 at [2, 5, 8, 13, 14, 15]
21 3  21         23    1       5                                 111111122212122111122 -> 21111112122122221222221  11 at [2, 3, 4, 5, 6]
22 2  18         24    1       2                                 1121221212122112222212 -> 222221222112112221111211  11 at [10, 13]
22 3  19         24    1       5                                 1211121221212211112221 -> 111112122122221222221122  11 at [0, 1, 2, 3, 4]
23 2  19         25    3       1                                 11121211212221222111112 -> 1212122212222121122112221  11 at [16]
23 3  17         25    2       3                                 11112122121221111222111 -> 1112122122221222221122122  11 at [0, 1, 2]
24 2  21         26    1       5                                 111212212111222221221221 -> 12111212121222222211111122  11 at [0, 3, 4, 19, 20]
24 3  23         26    1       8                                 112121222111222221222221 -> 11122212212222111122111221  11 at [0, 1, 2, 15, 16, 17, 21, 22]
25 2  20         27    1       3                                 1112221222221221222112221 -> 121122122122122212111111121  11 at [0, 3, 19]
25 3  21         27    3       6                                 1111112211122222122222111 -> 122212212222111122111221122  11 at [0, 13, 14, 15, 19, 20]
26 2  21         28    1       3                                 11112121112211111112212212 -> 2222121222112212111222222211  11 at [11, 17, 18]
26 3  21         28    1       2                                 11112221121112121112112211 -> 1222122221221121212211122222  11 at [0, 13]
