 n  c   #prefixes with exactly v violations over n+2 columns, v=0,1,2,3   | same with the 12a ending   [s]
8  2   [0, 0, 1, 2]   | [0, 0, 0, 0]   [0.0s]
8  3   [0, 0, 2, 16]   | [0, 0, 0, 4]   [0.0s]
9  2   [0, 0, 6, 20]   | [0, 0, 0, 10]   [0.0s]
9  3   [0, 0, 12, 11]   | [0, 0, 7, 5]   [0.0s]
10 2   [0, 0, 3, 20]   | [0, 0, 3, 6]   [0.0s]
10 3   [0, 0, 0, 6]   | [0, 0, 0, 0]   [0.0s]
11 2   [0, 0, 2, 20]   | [0, 0, 0, 12]   [0.0s]
11 3   [0, 0, 0, 16]   | [0, 0, 0, 6]   [0.0s]
12 2   [0, 0, 3, 15]   | [0, 0, 1, 12]   [0.0s]
12 3   [0, 0, 0, 27]   | [0, 0, 0, 10]   [0.0s]
13 2   [0, 0, 0, 8]   | [0, 0, 0, 2]   [0.0s]
13 3   [0, 0, 8, 16]   | [0, 0, 0, 4]   [0.0s]
14 2   [0, 0, 0, 5]   | [0, 0, 0, 0]   [0.0s]
14 3   [0, 0, 8, 24]   | [0, 0, 0, 1]   [0.0s]
15 2   [0, 0, 0, 14]   | [0, 0, 0, 4]   [0.0s]
15 3   [0, 0, 1, 6]   | [0, 0, 0, 6]   [0.0s]
16 2   [0, 0, 0, 17]   | [0, 0, 0, 0]   [0.0s]
16 3   [0, 0, 0, 12]   | [0, 0, 0, 2]   [0.0s]
17 2   [0, 0, 0, 22]   | [0, 0, 0, 0]   [0.0s]
17 3   [0, 0, 4, 0]   | [0, 0, 0, 0]   [0.0s]
18 2   [0, 0, 8, 8]   | [0, 0, 0, 4]   [0.1s]
18 3   [0, 0, 0, 28]   | [0, 0, 0, 0]   [0.1s]
19 2   [0, 0, 0, 0]   | [0, 0, 0, 0]   [0.2s]
19 3   [0, 0, 0, 0]   | [0, 0, 0, 0]   [0.2s]
20 2   [0, 0, 0, 6]   | [0, 0, 0, 6]   [0.3s]
20 3   [0, 0, 0, 0]   | [0, 0, 0, 0]   [0.3s]
21 2   [0, 0, 0, 8]   | [0, 0, 0, 0]   [0.7s]
21 3   [0, 10, 0, 26]   | [0, 10, 0, 0]   [0.6s]
22 2   [0, 0, 0, 8]   | [0, 0, 0, 0]   [1.8s]
22 3   [0, 0, 62, 2]   | [0, 0, 0, 2]   [1.5s]
23 2   [0, 0, 0, 2]   | [0, 0, 0, 0]   [3.2s]
23 3   [0, 0, 0, 0]   | [0, 0, 0, 0]   [2.4s]
24 2   [0, 0, 0, 0]   | [0, 0, 0, 0]   [5.6s]
24 3   [0, 0, 0, 0]   | [0, 0, 0, 0]   [5.3s]
25 2   [0, 0, 0, 0]   | [0, 0, 0, 0]   [12.8s]
25 3   [0, 0, 0, 4]   | [0, 0, 0, 0]   [14.0s]
26 2   [0, 0, 0, 0]   | [0, 0, 0, 0]   [37.7s]
26 3   [0, 0, 0, 0]   | [0, 0, 0, 0]   [40.2s]
