 n  r  c   deepest   need   slack   witness
1  0  2   0         3      3       
1  0  3   1         3      2       21
1  1  2   0         4      4       
1  1  3   1         4      3       21
1  2  2   0         5      5       
1  2  3   1         5      4       21
2  0  2   1         4      3       221
2  0  3   1         4      3       122
2  1  2   1         5      4       221
2  1  3   1         5      4       122
2  2  2   1         6      5       221
2  2  3   1         6      5       122
3  0  2   1         5      4       2121
3  0  3   4         5      1       1212122
3  1  2   1         6      5       2121
3  1  3   4         6      2       1212122
3  2  2   1         7      6       2121
3  2  3   4         7      3       1212122
4  0  2   2         6      4       112222
4  0  3   2         6      4       212122
4  1  2   2         7      5       112222
4  1  3   2         7      5       212122
4  2  2   2         8      6       112222
4  2  3   2         8      6       212122
5  0  2   2         7      5       1121121
5  0  3   4         7      3       122112121
5  1  2   2         8      6       1121121
5  1  3   4         8      4       122112121
5  2  2   2         9      7       1121121
5  2  3   4         9      5       122112121
6  0  2   3         8      5       111222121
6  0  3   3         8      5       122112212
6  1  2   3         9      6       111222121
6  1  3   3         9      6       122112212
6  2  2   3         10     7       111222121
6  2  3   3         10     7       122112212
7  0  2   4         9      5       12211222221
7  0  3   4         9      5       11222212222
7  1  2   4         10     6       12211222221
7  1  3   4         10     6       11222212222
7  2  2   4         11     7       12211222221
7  2  3   4         11     7       11222212222
8  0  2   3         10     7       11222222121
8  0  3   6         10     4       12222111212121
8  1  2   3         11     8       11222222121
8  1  3   6         11     5       12222111212121
8  2  2   3         12     9       11222222121
8  2  3   6         12     6       12222111212121
9  0  2   4         11     7       1121121222121
9  0  3   8         11     3       11222212212212221
9  1  2   4         12     8       1121121222121
9  1  3   8         12     4       11222212212212221
9  2  2   4         13     9       1121121222121
9  2  3   8         13     5       11222212212212221
uv run python rw_margin.py --min-source 1 --max-source 9  0.08s user 0.01s system 91% cpu 0.101 total
