 n  r  c   vars    clauses   result   seconds
6  1  2   1612    4977      UNSAT        0.00  
6  1  3   1612    4977      UNSAT        0.00  
6  2  2   1804    5573      UNSAT        0.00  
6  2  3   1804    5573      UNSAT        0.00  
7  1  2   2095    6474      UNSAT        0.01  
7  1  3   2095    6474      UNSAT        0.01  
7  2  2   2314    7154      UNSAT        0.01  
7  2  3   2314    7154      UNSAT        0.01  
8  1  2   2641    8167      UNSAT        0.04  
8  1  3   2641    8167      UNSAT        0.01  
8  2  2   2887    8931      UNSAT        0.02  
8  2  3   2887    8931      UNSAT        0.03  
9  1  2   3250    10056     UNSAT        0.05  
9  1  3   3250    10056     UNSAT        0.03  
9  2  2   3523    10904     UNSAT        0.05  
9  2  3   3523    10904     UNSAT        0.08  
10 1  2   3922    12141     UNSAT        0.09  
10 1  3   3922    12141     UNSAT        0.10  
10 2  2   4222    13073     UNSAT        0.09  
10 2  3   4222    13073     UNSAT        0.08  
11 1  2   4657    14422     UNSAT        0.11  
11 1  3   4657    14422     UNSAT        0.11  
11 2  2   4984    15438     UNSAT        0.12  
11 2  3   4984    15438     UNSAT        0.12  
12 1  2   5455    16899     UNSAT        0.15  
12 1  3   5455    16899     UNSAT        0.15  
12 2  2   5809    17999     UNSAT        0.15  
12 2  3   5809    17999     UNSAT        0.18  
13 1  2   6316    19572     UNSAT        0.19  
13 1  3   6316    19572     UNSAT        0.20  
13 2  2   6697    20756     UNSAT        0.24  
13 2  3   6697    20756     UNSAT        0.21  
14 1  2   7240    22441     UNSAT        0.27  
14 1  3   7240    22441     UNSAT        0.31  
14 2  2   7648    23709     UNSAT        0.28  
14 2  3   7648    23709     UNSAT        0.25  
15 1  2   8227    25506     UNSAT        0.51  
15 1  3   8227    25506     UNSAT        0.53  
15 2  2   8662    26858     UNSAT        0.68  
15 2  3   8662    26858     UNSAT        0.52  
16 1  2   9277    28767     UNSAT        0.87  
16 1  3   9277    28767     UNSAT        0.68  
16 2  2   9739    30203     UNSAT        0.90  
16 2  3   9739    30203     UNSAT        1.08  
17 1  2   10390   32224     UNSAT        1.04  
17 1  3   10390   32224     UNSAT        1.01  
17 2  2   10879   33744     UNSAT        1.17  
17 2  3   10879   33744     UNSAT        1.19  
18 1  2   11566   35877     UNSAT        1.72  
18 1  3   11566   35877     UNSAT        1.29  
18 2  2   12082   37481     UNSAT        1.58  
18 2  3   12082   37481     UNSAT        1.49  
19 1  2   12805   39726     UNSAT        2.18  
19 1  3   12805   39726     UNSAT        2.43  
19 2  2   13348   41414     UNSAT        2.08  
19 2  3   13348   41414     UNSAT        2.64  
20 1  2   14107   43771     UNSAT        3.96  
20 1  3   14107   43771     UNSAT        3.93  
20 2  2   14677   45543     UNSAT        6.94  
20 2  3   14677   45543     UNSAT        4.46  
21 1  2   15472   48012     UNSAT        8.27  
21 1  3   15472   48012     UNSAT        9.07  
21 2  2   16069   49868     UNSAT        8.55  
21 2  3   16069   49868     UNSAT        8.94  
22 1  2   16900   52449     UNSAT       13.69  
22 1  3   16900   52449     UNSAT       16.43  
22 2  2   17524   54389     UNSAT       12.35  
22 2  3   17524   54389     UNSAT       12.87  
 n  r  c   vars    clauses   result   seconds
23 1  2   18391   57082     UNSAT       16.40  
23 1  3   18391   57082     UNSAT       15.91  
23 2  2   19042   59106     UNSAT       17.74  
23 2  3   19042   59106     UNSAT       21.07  
24 1  2   19945   61911     UNSAT       66.80  
24 1  3   19945   61911     UNSAT       50.61  
24 2  2   20623   64019     UNSAT       68.58  
24 2  3   20623   64019     UNSAT       77.21  
25 1  2   21562   66936     UNSAT       93.23  
25 1  3   21562   66936     UNSAT       90.58  
25 2  2   22267   69128     UNSAT       95.70  
25 2  3   22267   69128     UNSAT      105.34  
26 1  2   23242   72157     UNSAT      152.10  
26 1  3   23242   72157     UNSAT      108.47  
26 2  2   23974   74433     UNSAT      287.28  
26 2  3   23974   74433     UNSAT      222.11  
27 1  2   24985   77574     UNSAT      526.07  
27 1  3   24985   77574     UNSAT      518.85  
27 2  2   25744   79934     UNSAT      971.32  
27 2  3   25744   79934     UNSAT      973.81  
28 1  2   26791   83187     UNSAT     1888.20  
28 1  3   26791   83187     UNSAT      869.55  
28 2  2   27577   85631     UNSAT     1369.50  
28 2  3   27577   85631     UNSAT     1274.15  
29 1  2   28660   88996     UNSAT     2228.47  
29 1  3   28660   88996     UNSAT     2547.48  
29 2  2   29473   91524     UNSAT    12747.06  
stopping: 12747.1s exceeds the per-instance budget 3600.0s
