n=18 c=2 deepest=12 Q_n=D_0=39728 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        1229      152     84    126      71      45   0.566  0.553  0.829   0.467
  7         606       71     36     60      29      45   0.545  0.507  0.845   0.408
  8         249       29     16     25      13      45   0.426  0.552  0.862   0.448
  9          94       13      6     13       6      24   0.362  0.462  1.000   0.462
  10         34        6      6      5       5       8   1.000  1.000  0.833   0.833
  11         32        5      2      5       2       8   0.500  0.400  1.000   0.400
  12         16        2      0      2       0       8   0.000  0.000  1.000   0.000
n=18 c=3 deepest=11 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        1063      151     72    132      63      30   0.500  0.477  0.874   0.417
  7         444       63     38     50      30      28   0.565  0.603  0.794   0.476
  8         195       30     18     25      13      16   0.621  0.600  0.833   0.433
  9          93       13      3     11       3      16   0.280  0.231  0.846   0.231
  10         26        3      1      3       1      12   0.462  0.333  1.000   0.333
  11         12        1      0      1       0      12   0.000  0.000  1.000   0.000
n=19 c=2 deepest=11 Q_n=D_0=70204 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        2474      260    127    203      95      72   0.464  0.488  0.781   0.365
  7         837       95     48     77      42      38   0.480  0.505  0.811   0.442
  8         334       42     29     34      24      26   0.746  0.690  0.810   0.571
  9         173       24      8     24       8      16   0.243  0.333  1.000   0.333
  10         42        8      2      7       2       8   0.190  0.250  0.875   0.250
  11          8        2      0      1       0       4   0.000  0.000  0.500   0.000
n=19 c=3 deepest=13 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        2213      264    121    212      96      39   0.477  0.458  0.803   0.364
  7         891       96     50     78      43      28   0.503  0.521  0.812   0.448
  8         389       43     14     33      12      26   0.329  0.326  0.767   0.279
  9          97       12      5     10       4      16   0.474  0.417  0.833   0.333
  10         42        4      1      3       1      14   0.143  0.250  0.750   0.250
  11          6        1      1      1       1       6   1.000  1.000  1.000   1.000
  12          6        1      1      1       1       6   1.000  1.000  1.000   1.000
  13          6        1      1      0       0       6   1.000  1.000  0.000   0.000
n=20 c=2 deepest=11 Q_n=D_0=123979 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        4534      438    222    354     173      68   0.531  0.507  0.808   0.395
  7        1917      173     95    145      83      68   0.544  0.549  0.838   0.480
  8         905       83     33     69      25      68   0.344  0.398  0.831   0.301
  9         267       25      9     18       8      30   0.345  0.360  0.720   0.320
  10         88        8      3      6       2      22   0.409  0.375  0.750   0.250
  11         20        2      0      1       0      16   0.000  0.000  0.500   0.000
n=20 c=3 deepest=14 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        4609      456    225    364     184      57   0.524  0.493  0.798   0.404
  7        2037      184     88    154      73      56   0.464  0.478  0.837   0.397
  8         761       73     34     61      30      56   0.389  0.466  0.836   0.411
  9         266       30     15     25      12      36   0.492  0.500  0.833   0.400
  10        111       12      8     11       8      36   0.604  0.667  0.917   0.667
  11         67        8      6      6       5      13   0.791  0.750  0.750   0.625
  12         47        5      1      4       1      13   0.255  0.200  0.800   0.200
  13         12        1      1      1       1      12   1.000  1.000  1.000   1.000
  14         12        1      0      1       0      12   0.000  0.000  1.000   0.000
n=21 c=2 deepest=13 Q_n=D_0=219061 [1s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        8567      770    366    625     299     158   0.454  0.475  0.812   0.388
  7        3251      298    152    232     121     158   0.544  0.510  0.779   0.406
  8        1462      121     61     97      49     158   0.529  0.504  0.802   0.405
  9         587       49     19     39      16     144   0.520  0.388  0.796   0.327
  10        293       16     14     15      14     144   0.891  0.875  0.938   0.875
  11        261       14      8     13       8     144   0.831  0.571  0.929   0.571
  12        217        8      3      7       2     144   0.120  0.375  0.875   0.250
  13         24        2      0      1       0      18   0.000  0.000  0.500   0.000
n=21 c=3 deepest=16 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6        8779      770    362    634     297      64   0.475  0.470  0.823   0.386
  7        3344      297    140    243     120      64   0.513  0.471  0.818   0.404
  8        1513      120     58    101      49      64   0.477  0.483  0.842   0.408
  9         591       49     27     34      20      50   0.604  0.551  0.694   0.408
  10        305       20     10     18      10      50   0.377  0.500  0.900   0.500
  11        115       10      5      5       2      26   0.643  0.500  0.500   0.200
  12         50        2      1      2       1      26   0.480  0.500  1.000   0.500
  13         24        1      1      1       1      24   1.000  1.000  1.000   1.000
  14         24        1      1      1       1      24   1.000  1.000  1.000   1.000
  15         24        1      1      1       1      24   1.000  1.000  1.000   1.000
  16         24        1      0      1       0      24   0.000  0.000  1.000   0.000
n=22 c=2 deepest=12 Q_n=D_0=386715 [2s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6       17184     1332    664   1086     542     188   0.501  0.498  0.815   0.407
  7        6964      541    273    439     220      88   0.515  0.505  0.811   0.407
  8        2897      220    103    186      89      84   0.491  0.468  0.845   0.405
  9        1248       89     47     70      38      84   0.554  0.528  0.787   0.427
  10        534       38     20     31      15      84   0.390  0.526  0.816   0.395
  11        170       15      9     10       6      36   0.506  0.600  0.667   0.400
  12         60        6      0      4       0      16   0.000  0.000  0.667   0.000
n=22 c=3 deepest=14 [0s]
   k     N_k      D_k    D_E   D_HC  D_both  maxfib  pE_src  pE_st  pHC_st  pboth_st
  6       17337     1438    697   1184     574     110   0.465  0.485  0.823   0.399
  7        6697      574    284    467     235     110   0.507  0.495  0.814   0.409
  8        2733      235    116    198     100      49   0.424  0.494  0.843   0.426
  9        1011      100     51     84      41      48   0.513  0.510  0.840   0.410
  10        440       41     27     34      24      48   0.664  0.659  0.829   0.585
  11        226       24     11     21       9      28   0.491  0.458  0.875   0.375
  12         95        9      6      7       5      24   0.589  0.667  0.778   0.556
  13         48        5      3      3       2      24   0.708  0.600  0.600   0.400
  14         28        2      0      2       0      24   0.000  0.000  1.000   0.000
n=23 c=2 deepest=16 Q_n=D_0=682501 [5s]
