n   N_q(n-1)   E[const classes] class-null   source-null   cum(class, n>=7)   cum(source, n>=7)
 1          2       0.5000     0.50      0.000       0.00
 2          4       0.5000     0.50      0.000       0.00
 3          7       0.4375     0.50      0.000       0.00
 4         12       0.3750     0.50      0.000       0.00
 5         20       0.3125     0.50      0.000       0.00
 6         37       0.2891     0.50      0.000       0.00
 7         69       0.2695     0.50      0.270       0.50
 8        123       0.2402     0.50      0.510       1.00
 9        219       0.2139     0.50      0.724       1.50
10        391       0.1909     0.50      0.915       2.00
11        701       0.1711     0.50      1.086       2.50
12       1257       0.1534     0.50      1.239       3.00
13       2255       0.1376     0.50      1.377       3.50
14       4009       0.1223     0.50      1.499       4.00
15       7115       0.1086     0.50      1.608       4.50
16      12647       0.0965     0.50      1.704       5.00
17      22437       0.0856     0.50      1.790       5.50
18      39728       0.0758     0.50      1.866       6.00
19      70204       0.0670     0.50      1.932       6.50
20     123979       0.0591     0.50      1.992       7.00
21     219061       0.0522     0.50      2.044       7.50
22     386715       0.0461     0.50      2.090       8.00
23     682501       0.0407     0.50      2.131       8.50
24    1204323       0.0359     0.50      2.167       9.00
25    2123116       0.0316     0.50      2.198       9.50
26    3743069       0.0279     0.50      2.226      10.00
27    6597180       0.0246     0.50      2.251      10.50
28   11622852       0.0216     0.50      2.272      11.00

last increment 0.8170; geometric tail of the class-null sum beyond n=28: 0.1601; total class-null expectation over n>=7: 2.432
least-squares log2 N_q(u) = 0.8212 u + 1.310 on u=13..27; residual max 0.016
increments u=13..27: 0.8301 0.8276 0.8299 0.8271 0.8243 0.8214 0.8205 0.8212 0.8199 0.8196 0.8193 0.8180 0.8180 0.8176 0.8170
