u  n=u+1  N_q(u)   log2   increment   2^n/N_q   elapsed_s
 0   1         2   1.0000              1.000      0.0
 1   2         4   2.0000    1.0000    1.000      0.0
 2   3         7   2.8074    0.8074    1.143      0.0
 3   4        12   3.5850    0.7776    1.333      0.0
 4   5        20   4.3219    0.7370    1.600      0.0
 5   6        37   5.2095    0.8875    1.730      0.0
 6   7        69   6.1085    0.8991    1.855      0.0
 7   8       123   6.9425    0.8340    2.081      0.0
 8   9       219   7.7748    0.8323    2.338      0.0
 9  10       391   8.6110    0.8362    2.619      0.0
10  11       701   9.4533    0.8422    2.922      0.0
11  12      1257  10.2958    0.8425    3.259      0.0
12  13      2255  11.1389    0.8431    3.633      0.0
13  14      4009  11.9690    0.8301    4.087      0.0
14  15      7115  12.7966    0.8276    4.605      0.1
15  16     12647  13.6265    0.8299    5.182      0.1
16  17     22437  14.4536    0.8271    5.842      0.2
17  18     39728  15.2779    0.8243    6.598      0.5
18  19     70204  16.0993    0.8214    7.468      0.9
19  20    123979  16.9197    0.8205    8.458      1.7
20  21    219061  17.7410    0.8212    9.573      3.2
21  22    386715  18.5609    0.8199   10.846      5.9
22  23    682501  19.3805    0.8196   12.291     10.9
23  24   1204323  20.1998    0.8193   13.931     20.7
24  25   2123116  21.0178    0.8180   15.804     38.1
25  26   3743069  21.8358    0.8180   17.929     72.7
26  27   6597180  22.6534    0.8176   20.345    129.1
27  28  11622852  23.4705    0.8170   23.095    230.8
