all-2 endpoint, L=12
d\u   0  1  2  3  4  5  6  7  8  9 10 11
 -12  .  .  .  .  .  .  .  .  .  .  .  2
 -11  .  .  .  .  .  .  .  .  .  .  2  1
 -10  .  .  .  .  .  .  .  .  .  2  1  2
  -9  .  .  .  .  .  .  .  .  2  1  2  1
  -8  .  .  .  .  .  .  .  2  1  2  1  2
  -7  .  .  .  .  .  .  2  1  2  1  2  1
  -6  .  .  .  .  .  2  1  2  1  2  1  2
  -5  .  .  .  .  2  1  2  1  2  1  2  1
  -4  .  .  .  2  1  2  1  2  1  2  1  2
  -3  .  .  2  1  2  1  2  1  2  1  2  1
  -2  .  2  1  2  1  2  1  2  1  2  1  2
  -1  2  1  2  1  2  1  2  1  2  1  2  1
   0  1  2  1  2  1  2  1  2  1  2  1  2
   1  .  1  2  1  2  1  2  1  2  1  2  1
   2  .  .  1  2  1  2  1  2  1  2  1  2
   3  .  .  .  1  2  1  2  1  2  1  2  1
   4  .  .  .  .  1  2  1  2  1  2  1  2
   5  .  .  .  .  .  1  2  1  2  1  2  1
   6  .  .  .  .  .  .  1  2  1  2  1  2
   7  .  .  .  .  .  .  .  1  2  1  2  1
   8  .  .  .  .  .  .  .  .  1  2  1  2
   9  .  .  .  .  .  .  .  .  .  1  2  1
  10  .  .  .  .  .  .  .  .  .  .  1  2
  11  .  .  .  .  .  .  .  .  .  .  .  1

difference p=111.2^9 vs 2^12  ('#' differ, '~' 1<->3 only, '.' same)
d\u   0  1  2  3  4  5  6  7  8  9 10 11
 -12  .  .  .  .  .  .  .  .  .  .  .  .
 -11  .  .  .  .  .  .  .  .  .  .  .  .
 -10  .  .  .  .  .  .  .  .  .  .  .  .
  -9  .  .  .  .  .  .  .  .  .  .  .  .
  -8  .  .  .  .  .  .  .  .  .  .  .  .
  -7  .  .  .  .  .  .  .  .  .  .  .  .
  -6  .  .  .  .  .  .  .  .  .  .  .  .
  -5  .  .  .  .  .  .  .  .  .  .  .  .
  -4  .  .  .  .  .  .  .  .  .  .  .  .
  -3  .  .  #  .  .  .  .  .  .  .  .  .
  -2  .  #  #  .  .  .  .  .  .  .  .  .
  -1  #  #  #  #  .  .  .  .  .  .  .  .
   0  #  #  #  #  ~  .  .  .  .  .  .  .
   1  .  #  #  .  #  .  .  .  .  .  .  .
   2  .  .  #  .  ~  #  .  .  .  .  .  .
   3  .  .  .  #  #  #  .  .  .  .  .  .
   4  .  .  .  .  .  #  #  .  .  .  .  .
   5  .  .  .  .  .  #  #  ~  .  .  .  .
   6  .  .  .  .  .  .  .  #  .  .  .  .
   7  .  .  .  .  .  .  .  ~  #  .  .  .
   8  .  .  .  .  .  .  .  .  #  .  .  .
   9  .  .  .  .  .  .  .  .  .  #  .  .
  10  .  .  .  .  .  .  .  .  .  .  ~  .
  11  .  .  .  .  .  .  .  .  .  .  .  .

difference p=121.2^9 vs 2^12  ('#' differ, '~' 1<->3 only, '.' same)
d\u   0  1  2  3  4  5  6  7  8  9 10 11
 -12  .  .  .  .  .  .  .  .  .  .  .  .
 -11  .  .  .  .  .  .  .  .  .  .  .  .
 -10  .  .  .  .  .  .  .  .  .  .  .  .
  -9  .  .  .  .  .  .  .  .  .  .  .  .
  -8  .  .  .  .  .  .  .  .  .  .  .  .
  -7  .  .  .  .  .  .  .  .  .  .  .  .
  -6  .  .  .  .  .  .  .  .  .  .  .  .
  -5  .  .  .  .  .  .  .  .  .  .  .  .
  -4  .  .  .  .  .  .  .  .  .  .  .  .
  -3  .  .  #  .  .  .  .  .  .  .  .  .
  -2  .  .  #  .  .  .  .  .  .  .  .  .
  -1  #  .  #  #  .  .  .  .  .  .  .  .
   0  #  .  ~  #  ~  .  .  .  .  .  .  .
   1  .  #  #  ~  .  .  .  .  .  .  .  .
   2  .  .  .  #  .  .  .  .  .  .  .  .
   3  .  .  .  ~  #  .  .  .  .  .  .  .
   4  .  .  .  .  #  .  .  .  .  .  .  .
   5  .  .  .  .  .  #  .  .  .  .  .  .
   6  .  .  .  .  .  .  ~  .  .  .  .  .
   7  .  .  .  .  .  .  .  .  .  .  .  .
   8  .  .  .  .  .  .  .  .  .  .  .  .
   9  .  .  .  .  .  .  .  .  .  .  .  .
  10  .  .  .  .  .  .  .  .  .  .  .  .
  11  .  .  .  .  .  .  .  .  .  .  .  .

difference p=211.2^9 vs 2^12  ('#' differ, '~' 1<->3 only, '.' same)
d\u   0  1  2  3  4  5  6  7  8  9 10 11
 -12  .  .  .  .  .  .  .  .  .  .  .  .
 -11  .  .  .  .  .  .  .  .  .  .  .  .
 -10  .  .  .  .  .  .  .  .  .  .  .  .
  -9  .  .  .  .  .  .  .  .  .  .  .  .
  -8  .  .  .  .  .  .  .  .  .  .  .  .
  -7  .  .  .  .  .  .  .  .  .  .  .  .
  -6  .  .  .  .  .  .  .  .  .  .  .  .
  -5  .  .  .  .  .  .  .  .  .  .  .  .
  -4  .  .  .  .  .  .  .  .  .  .  .  .
  -3  .  .  #  .  .  .  .  .  .  .  .  .
  -2  .  #  #  .  .  .  .  .  .  .  .  .
  -1  .  #  #  #  .  .  .  .  .  .  .  .
   0  .  #  #  #  ~  .  .  .  .  .  .  .
   1  .  ~  #  .  #  .  .  .  .  .  .  .
   2  .  .  #  .  ~  #  .  .  .  .  .  .
   3  .  .  .  ~  #  #  .  .  .  .  .  .
   4  .  .  .  .  #  #  #  .  .  .  .  .
   5  .  .  .  .  .  #  #  ~  .  .  .  .
   6  .  .  .  .  .  .  .  #  .  .  .  .
   7  .  .  .  .  .  .  .  ~  #  .  .  .
   8  .  .  .  .  .  .  .  .  #  .  .  .
   9  .  .  .  .  .  .  .  .  .  #  .  .
  10  .  .  .  .  .  .  .  .  .  .  ~  .
  11  .  .  .  .  .  .  .  .  .  .  .  .
