 n  c   k: max|S_k|/2^(n/2) [argmax]  ...   zero-cell dev/2^(n/2) for k=1..kmax
 8  2   k1: 0.50[1] k2: 1.88[11] k3: 2.88[100] k4: 2.88[0100] k5: 4.25[11100] k6: 4.25[011100]   zero:-0.25 +0.25 -0.50 +0.19 +0.38 +0.38  [0s]
 8  3   k1: 0.50[1] k2: 1.38[11] k3: 3.25[101] k4: 3.62[1011] k5: 5.25[11110] k6: 5.25[011110]   zero:+0.25 +0.38 -0.44 -0.19 +0.25 +0.06  [0s]
 9  2   k1: 3.54[1] k2: 3.54[01] k3: 3.54[001] k4: 3.62[1100] k5: 4.60[10100] k6: 4.60[010100]   zero:-1.77 -0.97 -1.10 -0.84 -0.62 -0.35  [0s]
 9  3   k1: 3.54[1] k2: 3.54[01] k3: 3.98[111] k4: 5.04[1111] k5: 5.04[01111] k6: 5.04[001111]   zero:+1.77 +1.46 +1.68 +1.50 +1.06 +0.44  [0s]
10  2   k1: 0.19[1] k2: 1.81[10] k3: 2.88[110] k4: 3.44[1000] k5: 4.81[10000] k6: 4.81[010000]   zero:-0.09 -0.22 -0.47 -0.09 +0.19 +0.16  [0s]
10  3   k1: 0.19[1] k2: 1.44[10] k3: 4.50[101] k4: 4.50[0101] k5: 6.12[11000] k6: 6.12[011000]   zero:+0.09 -0.06 +0.38 +0.53 +0.56 +0.53  [0s]
11  2   k1: 2.08[1] k2: 3.98[11] k3: 3.98[011] k4: 3.98[0011] k5: 3.98[00011] k6: 4.51[101001]   zero:-1.04 -0.55 -0.29 -0.35 +0.20 -0.02  [0s]
11  3   k1: 2.08[1] k2: 2.08[01] k3: 3.62[101] k4: 4.77[1001] k5: 4.77[01001] k6: 4.77[001001]   zero:+1.04 +0.46 +1.10 +0.64 +0.33 +0.13  [0s]
12  2   k1: 1.22[1] k2: 3.19[11] k3: 3.19[011] k4: 3.19[0011] k5: 7.06[10110] k6: 7.06[010110]   zero:+0.61 +1.03 +0.20 +0.03 -0.36 -0.06  [0s]
12  3   k1: 1.22[1] k2: 2.50[11] k3: 2.50[011] k4: 5.69[1101] k5: 5.69[01101] k6: 5.69[001101]   zero:-0.61 +0.30 +0.05 -0.52 +0.22 -0.28  [0s]
13  2   k1: 1.68[1] k2: 6.10[11] k3: 6.10[011] k4: 6.10[0011] k5: 6.83[10111] k6: 6.83[010111]   zero:-0.84 -1.97 -0.92 -0.62 -0.24 -0.39  [0s]
13  3   k1: 1.68[1] k2: 4.62[10] k3: 4.62[010] k4: 4.62[0010] k5: 6.50[11111] k6: 6.50[011111]   zero:+0.84 -0.67 -0.67 -0.41 -0.54 -0.27  [0s]
14  2   k1: 0.02[1] k2: 2.59[11] k3: 2.81[101] k4: 4.62[1111] k5: 4.62[01111] k6: 5.56[111000]   zero:+0.01 +1.20 +0.39 -0.70 -0.58 -0.20  [0s]
14  3   k1: 0.02[1] k2: 4.42[11] k3: 6.62[111] k4: 6.62[0111] k5: 6.62[00111] k6: 6.62[000111]   zero:-0.01 +0.17 -0.42 -0.59 -0.73 -0.62  [0s]
15  2   k1: 0.01[1] k2: 8.86[11] k3: 8.86[011] k4: 8.86[0011] k5: 8.86[00011] k6: 8.86[000011]   zero:+0.01 -1.83 -2.55 -0.59 -0.12 -0.49  [0s]
15  3   k1: 0.01[1] k2: 3.06[10] k3: 4.19[100] k4: 6.41[1101] k5: 6.41[01101] k6: 6.41[001101]   zero:-0.01 -0.59 -0.33 +0.03 +0.15 +0.38  [0s]
16  2   k1: 1.39[1] k2: 4.64[11] k3: 4.64[011] k4: 5.43[1101] k5: 6.41[11101] k6:10.88[101001]   zero:-0.70 +1.70 +2.25 +1.82 +0.07 -0.10  [1s]
