
c = 2: rows n-j, all 4^9 seeds, tails of length 32
  j   phase classes P_j   log2   transient tau_j   P_j(tau) for tau=0..7
  1              1     0.00            1      [2, 1, 1, 1, 1, 1, 1, 1]
  2              2     1.00            2      [4, 3, 2, 2, 2, 2, 2, 2]
  3              2     1.00            3      [9, 6, 3, 2, 2, 2, 2, 2]
  4              4     2.00            4      [18, 11, 7, 5, 4, 4, 4, 4]
  5              4     2.00            7      [36, 21, 15, 11, 9, 7, 5, 4]
  6              4     2.00            8      [67, 40, 29, 22, 16, 12, 8, 6]
  7              4     2.00           10      [129, 82, 56, 38, 28, 20, 14, 10]
  8              4     2.00           14      [255, 156, 102, 70, 46, 33, 25, 18]
  9              4     2.00           17      [494, 296, 185, 118, 83, 59, 40, 31]

c = 3: rows n-j, all 4^9 seeds, tails of length 32
  j   phase classes P_j   log2   transient tau_j   P_j(tau) for tau=0..7
  1              2     1.00            0      [2, 2, 2, 2, 2, 2, 2, 2]
  2              2     1.00            2      [5, 3, 2, 2, 2, 2, 2, 2]
  3              2     1.00            4      [11, 6, 4, 3, 2, 2, 2, 2]
  4              4     2.00            6      [20, 12, 9, 7, 6, 5, 4, 4]
  5              4     2.00            8      [39, 25, 19, 15, 12, 9, 6, 5]
  6              4     2.00            9      [76, 50, 36, 25, 19, 13, 9, 6]
  7              4     2.00           11      [156, 98, 65, 46, 31, 21, 16, 12]
  8              4     2.00           13      [307, 189, 121, 79, 53, 38, 26, 20]
  9              4     2.00           16      [601, 356, 219, 144, 97, 66, 49, 37]
